start,1498293995.731861
Start Anneal,0.0048258304595947266,1
Score Iteration,-2,8,0.9558895783575597
Score Iteration,-3,12,0.936914692879804
Score Iteration,-4,13,0.932230119415405
Score Iteration,-5,16,0.9183164683543651
Score Iteration,-6,19,0.9046104802746177
Score Iteration,-8,21,0.8955869907338784
Score Iteration,-9,25,0.8778091417340574
Score Iteration,-10,31,0.8518018596003473
Score Iteration,-12,38,0.8224322824348488
Score Iteration,-13,61,0.7328768546436801
Score Iteration,-14,398,0.13533471650855639
Score Iteration,-15,412,0.12616309893182148
Result SA test138,0.0048258304595947266,7.5952818393707275,919,-15
Start Anneal,7.595286846160889,1.1
Result SA test138,7.595286846160889,11.255466938018799,1857,-15
Start Anneal,11.255470991134644,1.2100000000000002
Score Iteration,-16,1984,0.6370004010584831
Result SA test138,11.255470991134644,19.675325870513916,2814,-16
Start Anneal,19.67532992362976,1.3310000000000004
Score Iteration,-17,2836,1.1860661532434582
Result SA test138,19.67532992362976,28.3088219165802,3790,-17
Start Anneal,28.30882477760315,1.4641000000000006
Score Iteration,-18,3880,0.9278357209312722
Result SA test138,28.30882477760315,35.905526876449585,4785,-18
Start Anneal,35.90552997589111,1.6105100000000008
Result SA test138,35.90552997589111,44.688034772872925,5799,-18
Start Anneal,44.68803787231445,1.771561000000001
Result SA test138,44.68803787231445,66.64780187606812,6832,-18
Start Anneal,66.64780592918396,1.9487171000000014
Result SA test138,66.64780592918396,76.43257880210876,7884,-18
Start Anneal,76.43258285522461,2.1435888100000016
Score Iteration,-19,7884,2.1328708659500015
Result SA test138,76.43258285522461,84.5186128616333,8955,-19
Start Anneal,84.51861596107483,2.357947691000002
Result SA test138,84.51861596107483,90.65184187889099,10045,-19
Start Anneal,90.65184497833252,2.5937424601000023
Result SA test138,90.65184497833252,99.68711686134338,11154,-19
Start Anneal,99.68711996078491,2.853116706110003
Result SA test138,99.68711996078491,111.20053291320801,12282,-19
Start Anneal,111.20053577423096,3.1384283767210035
Result SA test138,111.20053577423096,122.37496280670166,13429,-19
Start Anneal,122.37496495246887,3.4522712143931042
Result SA test138,122.37496495246887,128.04673290252686,14595,-19
Start Anneal,128.04673600196838,3.797498335832415
Result SA test138,128.04673600196838,136.838604927063,15780,-19
