HPPHPPHPHHPPHH,14,7,3,0.7777777777777778,0.75
HPHPHPHPHPPHHP,14,2,1,0.15384615384615385,0.16666666666666666
HPPHPPHHPHHHPP,14,7,3,1.1428571428571428,1.3333333333333333
HPPPHHHPHPHPPH,14,5,2,0.45454545454545453,0.4
HPHHPPPHHPPHPH,14,7,3,1.2857142857142858,1.3333333333333333
PPHPPHHHPPPHHH,14,6,3,1.5,1.3333333333333333
HPHHPPPHPPHPHH,14,7,3,0.7777777777777778,0.75
PPPHHHPPHHPHHP,14,6,3,1.3333333333333333,1.3333333333333333
HPHPPPPHPHHHPH,14,7,3,1.2857142857142858,1.3333333333333333
PHPHPPHHHPPHHP,14,6,3,1.3333333333333333,1.3333333333333333
PPPHHHHHPPPPHH,14,6,3,1.5,1.3333333333333333
PHHHPHPHPHHPPP,14,4,2,2.5,2.5
PPHHPHHPHPHPHP,14,4,2,0.4,0.4
PHHPPHPHHHPPPH,14,4,2,2.75,2.5
PHHHPPHPHPHHPP,14,6,3,0.75,0.75
PPHPHPHPHHPHHP,14,4,2,0.4,0.4
PPHPPHHHHHPHPP,14,6,3,1.3333333333333333,1.3333333333333333
PPPHPHPPPHHHHH,14,4,2,2.75,2.5
PHPPHPHHPHHPPH,14,6,3,1.5,1.3333333333333333
HHPPHPHPPPHHHP,14,4,2,0.36363636363636365,0.4
PPPPHHPPHHHPHH,14,7,3,0.875,0.75
PPPHHHPHHHPPPH,14,4,2,2.75,2.5
HHPHPHPHHHPPPP,14,5,2,2.0,2.5
HPHPHHPHPPHHPP,14,6,3,0.6666666666666666,0.75
PHHHPPPPHHHPHP,14,6,3,0.75,0.75
PHHHPPHHHHPPPP,14,6,3,1.3333333333333333,1.3333333333333333
HPHPPHPPHPPHHH,14,7,3,0.7777777777777778,0.75
PHPHHHPPPHPHPH,14,2,1,6.5,6.0
HPHHHPPHPHPPHP,14,6,3,0.6666666666666666,0.75
PPHHHPHHPHHPPP,14,6,3,0.75,0.75
HHHHPPPPPHPPHH,14,7,3,1.2857142857142858,1.3333333333333333
PPPPPHPPHHHHHH,14,6,3,1.5,1.3333333333333333
PPHHPHPHHHPPPH,14,4,2,2.75,2.5
HPHHPHPPHHPPHP,14,6,3,0.6666666666666666,0.75
HPHHPHPPPHPHHP,14,7,3,1.1428571428571428,1.3333333333333333
HPPPPHPHPHPHHH,14,5,2,2.2,2.5
HHHHPPHPHHPPPP,14,6,3,0.6666666666666666,0.75
PPHPHHHHPPHPPH,14,7,3,0.875,0.75
PPPHHHPHPPPHHH,14,4,2,2.75,2.5
PPHPHHHPHHHPPP,14,4,2,0.4,0.4
HPHPHHPHPHPPHP,14,6,3,0.6666666666666666,0.75
HPHPPHHHPHHPPP,14,6,3,0.6666666666666666,0.75
HPPHPHPPHHPHPH,14,5,2,2.2,2.5
PHHPPPPHHPPHHH,14,6,3,1.5,1.3333333333333333
PHHPHPPHHHPPHP,14,6,3,0.75,0.75
PPHPHHPHHHHPPP,14,6,3,0.75,0.75
HHPPHPPPHHPHPH,14,7,3,1.2857142857142858,1.3333333333333333
PHHPPHPPPPHHHH,14,6,3,1.5,1.3333333333333333
HPPHHPPHHPPHPH,14,7,3,1.2857142857142858,1.3333333333333333
PPHHPPHHHHPPPH,14,6,3,1.5,1.3333333333333333
HPPHPPPPHHHHHP,14,6,3,0.6666666666666666,0.75
PHHHPHPHHHPPPP,14,4,2,2.5,2.5
PPHPHHPHHPPPHH,14,7,3,0.875,0.75
HPHHHPPPPPHHPH,14,7,3,0.7777777777777778,0.75
HHPPPPPHPHHHPH,14,5,2,2.2,2.5
PHHPHPPHHHPHPP,14,6,3,1.3333333333333333,1.3333333333333333
HHHPPPPPPHHHPH,14,7,3,1.2857142857142858,1.3333333333333333
HPPHPPPHPHHHHP,14,7,3,1.1428571428571428,1.3333333333333333
PHHHHPHPHPPPPH,14,7,3,0.875,0.75
HPHPHHPHPPPHPH,14,7,3,1.2857142857142858,1.3333333333333333
PHHHPPHHPPPHPH,14,4,2,2.75,2.5
HHPPHHPPPHPPHH,14,7,3,1.2857142857142858,1.3333333333333333
HHPHPHHHPPPHPP,14,5,2,2.0,2.5
HPHHPHHPHHPPPP,14,6,3,0.6666666666666666,0.75
PPHPHHHPPHPHPH,14,6,3,1.5,1.3333333333333333
HPPPPHPHPHHPHH,14,7,3,1.2857142857142858,1.3333333333333333
HHPPPHPHHHPPPH,14,5,2,2.2,2.5
PHHPHPHHHPPHPP,14,6,3,0.75,0.75
PHPHHPPHHHPHPP,14,4,2,2.5,2.5
