start,1498301331.098412
Start Anneal,0.0028128623962402344,1
Score Iteration,-1,3,0.9801495006250001
Score Iteration,-2,8,0.9558895783575597
Score Iteration,-3,9,0.951110130465772
Score Iteration,-6,21,0.8955869907338784
Score Iteration,-7,53,0.7628626641409965
Score Iteration,-8,64,0.7219385759785164
Score Iteration,-9,70,0.700549347573362
Score Iteration,-10,85,0.6498078359349757
Score Iteration,-11,95,0.6180388156137955
Score Iteration,-12,103,0.5937455908197754
Score Iteration,-13,465,0.09672876157528987
Score Iteration,-14,478,0.09062659794395649
Score Iteration,-15,516,0.0749087837149281
Result SA test142,0.0028128623962402344,7.158195972442627,919,-15
Start Anneal,7.158199071884155,1.1
Score Iteration,-16,1259,0.19909631387436566
Result SA test142,7.158199071884155,14.917438983917236,1857,-16
Start Anneal,14.917441844940186,1.2100000000000002
Score Iteration,-18,2000,0.5879074961209454
Result SA test142,14.917441844940186,28.877516984939575,2814,-18
Start Anneal,28.877519845962524,1.3310000000000004
Result SA test142,28.877519845962524,38.94245386123657,3790,-18
Start Anneal,38.9424569606781,1.4641000000000006
Result SA test142,38.9424569606781,49.49657201766968,4785,-18
Start Anneal,49.49657607078552,1.6105100000000008
Result SA test142,49.49657607078552,58.30476999282837,5799,-18
Start Anneal,58.304774045944214,1.771561000000001
Result SA test142,58.304774045944214,69.04162096977234,6832,-18
Start Anneal,69.04162406921387,1.9487171000000014
Result SA test142,69.04162406921387,77.94871807098389,7884,-18
Start Anneal,77.94872093200684,2.1435888100000016
Score Iteration,-19,8437,0.13339151785614742
Result SA test142,77.94872093200684,85.43030285835266,8955,-19
Start Anneal,85.43030595779419,2.357947691000002
Result SA test142,85.43030595779419,91.76084089279175,10045,-19
Start Anneal,91.76084399223328,2.5937424601000023
Result SA test142,91.76084399223328,104.75392985343933,11154,-19
Start Anneal,104.75393295288086,2.853116706110003
Result SA test142,104.75393295288086,118.64834403991699,12282,-19
Start Anneal,118.64834690093994,3.1384283767210035
Result SA test142,118.64834690093994,131.79791808128357,13429,-19
Start Anneal,131.79792094230652,3.4522712143931042
Result SA test142,131.79792094230652,146.58944606781006,14595,-19
Start Anneal,146.58944988250732,3.797498335832415
Result SA test142,146.58944988250732,154.99185490608215,15780,-19
