protein,theo_score,high_score,min_bond,min_count,odd_even_bond,odd_even_count,even1,even2,even3,even4,odd1,odd2,odd3,odd4
PHHPHHPPHHHHPH,8,6,8,4,1.375,1.25,1,1,1,1,1,1,0,3
HHHPHPHHPHHPHP,6,5,6,3,0.46153846153846156,0.5,2,1,1,2,1,0,1,1
HHPHPHHHHHPPPH,7,5,7,3,1.8571428571428572,2.0,1,0,2,0,1,2,1,2
HPHPHPHPHPHHHH,5,5,5,2,0.3333333333333333,0.2857142857142857,2,1,2,2,0,0,0,2
HHHPPHHHPPHPHH,9,6,9,4,0.8181818181818182,0.8,2,0,1,2,1,1,1,1
HHHPHHPHHPPHPH,9,6,9,4,1.2222222222222223,1.25,2,1,1,0,1,1,1,2
PHHHHHPHHPHHPP,8,5,8,4,1.25,1.25,1,1,1,1,1,2,1,1
PHHHPHPPHHHHPH,6,5,6,3,2.1666666666666665,2.0,1,0,1,1,1,2,0,3
PHHHHHHPPHPPHH,8,6,8,4,1.375,1.25,1,1,1,1,1,2,0,2
HHHHHHPHPHPPPH,7,5,7,3,1.8571428571428572,2.0,2,1,0,0,1,2,1,2
PPHHHHHPHPHHPH,9,6,9,4,0.9,0.8,1,1,2,1,0,2,0,2
PHPHHHHPPHHPHH,8,6,8,4,1.375,1.25,0,1,1,2,1,2,0,2
HPHPHHHHPHHPPH,9,7,9,4,0.8181818181818182,0.8,2,1,1,1,0,1,1,2
PPHPHPHHHHPHHH,9,6,9,4,0.9,0.8,1,1,2,1,0,0,1,3
HHPHPPHPHHPHHH,9,6,9,4,1.2222222222222223,1.25,1,0,2,1,1,1,0,3
HHPHPHHPPHPHHH,7,6,7,3,1.8571428571428572,2.0,1,0,1,1,1,2,0,3
HHHPHPHPPHPHHH,9,7,9,4,0.8181818181818182,0.8,2,1,1,1,1,0,0,3
HHHHPHHHPPHPPH,9,6,9,4,1.2222222222222223,1.25,2,0,1,1,1,2,1,1
HHPHHHPHPHPHHP,7,6,7,3,1.7142857142857142,2.0,1,1,0,1,1,2,1,2
PHHPPPHHPHHHHH,8,5,8,4,1.375,1.25,1,0,1,2,1,0,1,3
HHHHPPHHPHHPPH,9,6,9,4,1.2222222222222223,1.25,2,0,1,1,1,1,1,2
HHHHHHPPPHPHPH,7,5,7,3,1.8571428571428572,2.0,2,1,0,0,1,2,0,3
PHPPHHHHHPPHHH,8,5,8,4,1.375,1.25,0,1,2,1,1,1,1,2
HHPHHHPPHHPHPH,7,6,7,3,1.8571428571428572,2.0,1,1,1,0,1,2,0,3
HHHPHHHPPHHPHP,6,5,6,3,0.46153846153846156,0.5,2,1,1,2,1,1,0,1
PHPPHHPHHHHHHP,8,5,8,4,1.25,1.25,0,1,1,2,1,1,1,2
PHPPHHHHHHPPHH,8,6,8,4,1.375,1.25,0,1,2,1,1,1,1,2
PHPHPHHHHPHHPH,6,5,6,3,2.1666666666666665,2.0,0,0,2,1,1,2,1,2
HHPHHPHPHHHPPH,9,6,9,4,0.8181818181818182,0.8,1,1,2,1,1,1,0,2
PHHPHHHHHHHPPP,8,4,8,4,0.8,0.8,1,1,2,1,1,1,1,1
HPHPHPHHPHHPHH,7,6,7,3,0.5384615384615384,0.5,2,1,1,2,0,0,1,2
PHHHPHHHHPHPHP,8,6,8,4,0.8,0.8,1,0,2,2,1,2,1,0
HPPHHHHHHHHPPP,8,5,8,4,0.7272727272727273,0.8,1,1,2,1,0,2,1,1
HHPHHHHPPHHPPH,9,6,9,4,1.2222222222222223,1.25,1,1,1,1,1,2,0,2
HHPHHPHHHPPPHH,9,6,9,4,0.8181818181818182,0.8,1,1,2,1,1,1,1,1
HHHPPPHPHHHHHP,6,4,6,3,0.46153846153846156,0.5,2,0,2,2,1,0,0,2
HPHHHHHPPPHPHH,7,5,7,3,0.5384615384615384,0.5,2,1,1,2,0,2,0,1
PHPHHHHPPHHHPH,6,5,6,3,2.1666666666666665,2.0,0,1,1,1,1,2,0,3
PHHPHPHPHHPHHH,9,6,9,4,0.9,0.8,1,1,2,1,1,0,0,3
HHPHPHPHHHPHPH,5,5,5,2,3.0,3.5,1,0,1,0,1,2,1,3
HHHHPHHPHPPHHP,8,5,8,4,0.7272727272727273,0.8,2,0,2,1,1,2,0,1
PHPHHPHHPHHHHP,8,5,8,4,1.25,1.25,0,1,1,2,1,1,1,2
HHHPHHHPHHHPPP,6,4,6,3,0.46153846153846156,0.5,2,1,2,1,1,1,0,1
HPHHHPHPHHPHPH,9,6,9,4,0.8181818181818182,0.8,2,1,2,0,0,1,0,3
HHHHHHHPPHPHPP,9,5,9,4,1.1111111111111112,1.25,2,1,1,0,1,2,0,2
HHHHPHHPPHHPPH,9,6,9,4,1.2222222222222223,1.25,2,0,1,1,1,2,0,2
HPHHPPPHHHHHPH,9,6,9,4,1.2222222222222223,1.25,2,0,1,1,0,1,1,3
HHPPHHPPPHHHHH,9,6,9,4,1.2222222222222223,1.25,1,1,0,2,1,1,0,3
HPHHHHHPPHPPHH,9,6,9,4,0.8181818181818182,0.8,2,1,1,1,0,2,0,2
HHHPPPHHHPHHPH,9,6,9,4,0.8181818181818182,0.8,2,0,2,1,1,0,1,2
HPHPPPHPHHHHHH,7,5,7,3,0.5384615384615384,0.5,2,0,2,2,0,0,0,3
PPHPHPHHHHHHHP,6,4,6,3,0.5,0.5,1,1,2,2,0,0,1,2
HHHHHPPPHHHHPP,8,5,8,4,0.7272727272727273,0.8,2,1,1,1,1,1,0,2
HPPHHHHPHHPHHP,8,6,8,4,0.7272727272727273,0.8,1,1,2,1,0,2,0,2
HHPHHHPHPHHPHP,9,6,9,4,1.1111111111111112,1.25,1,1,0,2,1,2,1,1
HHHHPHHPHPPHPH,9,6,9,4,1.2222222222222223,1.25,2,0,2,0,1,2,0,2
HHPHPHHPHPHPHH,9,6,9,4,0.8181818181818182,0.8,1,0,2,2,1,2,0,1
PPHHHHHPHHHPPH,9,5,9,4,0.9,0.8,1,1,2,1,0,2,0,2
PPPHHHHHHHHHPP,8,4,8,4,1.25,1.25,0,1,2,1,0,2,1,2
HPHHHHHPPHHHPP,8,5,8,4,0.7272727272727273,0.8,2,1,1,1,0,2,0,2
PHHHPPPHHHHHPH,6,4,6,3,2.1666666666666665,2.0,1,0,1,1,1,1,1,3
HHHHPHPPPHHPHH,9,6,9,4,1.2222222222222223,1.25,2,0,0,2,1,2,0,2
HHPHHHPHHPHPPH,9,6,9,4,1.2222222222222223,1.25,1,1,1,1,1,2,1,1
HPPHHPHHHPHHPH,9,6,9,4,0.8181818181818182,0.8,1,1,2,1,0,1,1,2
PHHHHPPHPHHHHP,8,5,8,4,1.25,1.25,1,1,0,2,1,1,1,2
HHHHPHHPPPHHPH,9,5,9,4,1.2222222222222223,1.25,2,0,1,1,1,2,0,2
PPPHPHPHHHHHHH,6,4,6,3,2.1666666666666665,2.0,0,0,1,2,0,2,1,3
HPHPHHPHPPHHHH,9,7,9,4,0.8181818181818182,0.8,2,1,0,2,0,1,1,2
HHHHPHHPHHPPPH,9,6,9,4,1.2222222222222223,1.25,2,0,2,0,1,2,0,2
PHHHHPHPHPPHHH,9,6,9,4,0.9,0.8,1,1,2,1,1,1,0,2
HHHHHPHPPHHHPP,8,5,8,4,0.7272727272727273,0.8,2,1,1,1,1,1,0,2
HHPHHHPPHHPHHP,9,6,9,4,1.1111111111111112,1.25,1,1,1,1,1,2,0,2
HHHHHPPHPPHHPH,9,6,9,4,1.2222222222222223,1.25,2,1,0,1,1,1,1,2
HPHPHPHHHHPHPH,9,7,9,4,0.8181818181818182,0.8,2,1,2,0,0,0,1,3
HHPHPPHHHHHPHP,8,6,8,4,0.7272727272727273,0.8,1,0,2,2,1,1,1,1
PHHPPPHPHHHHHH,9,5,9,4,0.9,0.8,1,0,2,2,1,0,0,3
HPHHPHHHHPPPHH,9,6,9,4,0.8181818181818182,0.8,2,0,2,1,0,2,1,1
HPHHPHHHHHPHPP,9,5,9,4,1.1111111111111112,1.25,2,0,2,0,0,2,1,2
HHHPHHHPHHPHPP,8,5,8,4,0.7272727272727273,0.8,2,1,2,0,1,1,0,2
PHHHHHPPPHHPHH,8,5,8,4,1.375,1.25,1,1,0,2,1,2,0,2
