start,1.0259219704267734e-06
Start Anneal,0.020398406537995534,1
Score Iteration,-4,1,0.990025
Score Iteration,-5,3,0.9801495006250001
Score Iteration,-6,5,0.9703725093562657
Score Iteration,-7,13,0.932230119415405
Score Iteration,-9,14,0.927568968818328
Result SA test130,0.020398406537995534,25.41210157037876,22,-9
Start Anneal,25.412115933286344,1.1
Result SA test130,25.412115933286344,77.0470303149683,63,-9
