duration 0,24.202110052108765,"[42600, 30080, 9294, 2045, 321, 22, 1, 0]",HPPHPPHPHHPPHH
duration 1,24.67103600502014,"[71354, 12059, 950]",HPHPHPHPHPPHHP
duration 2,23.239473819732666,"[45046, 29486, 8316, 1339, 165, 11, 0, 0]",HPPHPPHHPHHHPP
duration 3,24.488964080810547,"[51521, 25391, 6344, 1002, 101, 4]",HPPPHHHPHPHPPH
duration 4,24.08317494392395,"[49819, 27563, 6080, 813, 79, 9, 0, 0]",HPHHPPPHHPPHPH
duration 5,21.279165029525757,"[66743, 14521, 2754, 306, 39, 0, 0]",PPHPPHHHPPPHHH
duration 6,21.96469807624817,"[43333, 31535, 8332, 1063, 97, 3, 0, 0]",HPHHPPPHPPHPHH
duration 7,21.01355290412903,"[56122, 23870, 3736, 573, 62, 0, 0]",PPPHHHPPHHPHHP
duration 8,22.472869157791138,"[54836, 24345, 4261, 762, 139, 20, 0, 0]",HPHPPPPHPHHHPH
duration 9,21.51690101623535,"[60813, 18759, 4156, 574, 57, 4, 0]",PHPHPPHHHPPHHP
duration 10,20.573516845703125,"[62649, 19031, 2167, 516, 0, 0, 0]",PPPHHHHHPPPPHH
duration 11,21.710964918136597,"[63248, 18339, 2608, 163, 5]",PHHHPHPHPHHPPP
duration 12,22.056986093521118,"[57018, 23205, 3788, 346, 6]",PPHHPHHPHPHPHP
duration 13,25.334893226623535,"[60397, 20846, 2721, 387, 12]",PHHPPHPHHHPPPH
duration 14,22.827229022979736,"[61244, 19337, 3242, 517, 23, 0, 0]",PHHHPPHPHPHHPP
duration 15,22.240682125091553,"[55824, 23980, 4153, 396, 10]",PPHPHPHPHHPHHP
duration 16,21.121855974197388,"[50902, 27080, 5779, 549, 53, 0, 0]",PPHPPHHHHHPHPP
duration 17,21.268964052200317,"[57627, 25036, 1596, 104, 0]",PPPHPHPPPHHHHH
duration 18,22.06881308555603,"[40887, 31589, 9996, 1660, 224, 7, 0]",PHPPHPHHPHHPPH
duration 19,21.589876890182495,"[69879, 12691, 1679, 111, 3]",HHPPHPHPPPHHHP
duration 20,21.080286979675293,"[50841, 24614, 7671, 1013, 224, 0, 0, 0]",PPPPHHPPHHHPHH
duration 21,21.149823904037476,"[61724, 18155, 4170, 314, 0]",PPPHHHPHHHPPPH
duration 22,21.74137592315674,"[53503, 23989, 6124, 601, 146, 0]",HHPHPHPHHHPPPP
