duration 71,23.47435688972473,"[60986, 18553, 4224, 528, 72, 0, 0, 0]",HHPPPPHHPHHHPP
duration 72,23.989322185516357,"[51343, 25454, 6362, 1075, 114, 15, 0, 0]",HPPHPHHHPPPPHH
duration 73,23.887993097305298,"[60665, 19317, 3887, 485, 9]",PPPHPHPHHPPHHH
duration 74,22.705307006835938,"[56402, 23496, 3955, 461, 49, 0, 0, 0]",PPHPPHHPPPHHHH
duration 75,21.6943678855896,"[54403, 25459, 3977, 468, 54, 2, 0, 0]",HHHPPPPHPPHPHH
duration 76,21.734688997268677,"[46000, 27039, 8762, 2144, 418, 0, 0, 0]",PPPPHPHHHPHHPH
duration 77,24.108736038208008,"[48889, 28320, 6300, 780, 68, 6]",HPHPHPPHPPHPHH
duration 78,24.267826795578003,"[48531, 29028, 6185, 583, 36]",PHPHHPPHPPHHPH
duration 79,23.109102964401245,"[43429, 31193, 8326, 1245, 161, 9, 0]",HPPHPPHHHHPPHP
duration 80,23.282652854919434,"[56692, 22214, 4968, 421, 68, 0, 0]",PPHHPHPHHHHPPP
duration 81,23.279541969299316,"[43351, 30919, 8621, 1269, 182, 21, 0, 0]",HPPHHPHPPHPPHH
duration 82,23.73280096054077,"[63588, 15915, 4397, 373, 90, 0, 0, 0]",HHPPPHHHPPHHPP
duration 83,24.972848892211914,"[64672, 18566, 970, 155, 0]",HPHHHPPPPPHHHP
duration 84,26.15407085418701,"[53103, 24718, 5606, 848, 83, 5]",HPHPPPHHHPHPPH
duration 85,27.508426189422607,"[43900, 28502, 9600, 2140, 221, 0, 0]",HPPHPHHHHPHPPP
duration 86,24.63121199607849,"[55314, 22231, 5885, 846, 78, 9, 0, 0]",HHHPPHHPHPPPPH
duration 87,25.806474924087524,"[46355, 28191, 8340, 1396, 72, 9, 0, 0]",HPPPPHPPHHHPHH
duration 88,24.64049005508423,"[65837, 17228, 1298]",PHPHHHPHPHPPPH
duration 89,23.810746908187866,"[52167, 27101, 4466, 575, 52, 2, 0, 0]",HHPPPHPPHHPHHP
duration 90,24.43143892288208,"[44729, 32388, 6468, 709, 61, 8, 0, 0]",HHPHHPPPPHHPPH
duration 91,24.23111391067505,"[51376, 26973, 5168, 803, 42, 1, 0]",PHHPHHPPHHPPHP
duration 92,23.74602699279785,"[58321, 21513, 4325, 204, 0, 0, 0]",PHHHHHHPPPHPPP
duration 93,27.878909826278687,"[60458, 20507, 3031, 343, 24]",HPHPHPHPPHPHHP
duration 94,24.63893699645996,"[57307, 23111, 3352, 549, 44, 0]",PPHPHHHPPPHPHH
duration 95,24.62965989112854,"[62401, 19378, 2584]",HPHPHHHPHPHPPP
duration 96,24.02418613433838,"[55524, 22511, 5288, 962, 63, 15, 0, 0]",HHPPHHPPPPHHPH
duration 97,24.200077056884766,"[44020, 29978, 8705, 1514, 140, 6, 0]",HPPHHPHPHHPHPP
duration 98,22.9539577960968,"[51364, 26771, 5466, 713, 49, 0, 0]",HPPPPHHHHHPPHP
duration 99,24.27898597717285,"[44051, 28596, 10208, 1418, 88, 2, 0]",HPHHPHPPHPPHHP
