start,1.0259219704267734e-06
Start Anneal,0.006148350368767652,1
Score Iteration,-1,50,0.774420994283299
Score Iteration,-2,228,0.3173112652388399
Score Iteration,-3,422,0.11999500148501081
Result SA test130,0.006148350368767652,9.96220811237539,919,-3
