start,1.0259219704267734e-06
Start Anneal,0.004944943897457047,1
Score Iteration,-1,3,0.9801495006250001
Score Iteration,-2,12,0.936914692879804
Score Iteration,-3,165,0.43514240105855034
Score Iteration,-4,652,0.037885386914827505
Result SA test130,0.004944943897457047,5.630739905184291,919,-4
