start,18.71571599607277
Start Anneal,0.006421245612902027,1
Score Iteration,-1,0,0.995
Score Iteration,-2,19,0.9046104802746177
Score Iteration,-3,45,0.7940753492934957
Result SA test132,0.006421245612902027,14.287127859629255,919,-3
