start,21952.450496237947
Start Anneal,0.004445315338671207,1
Score Iteration,-1,3,0.9801495006250001
Score Iteration,-2,20,0.9000874278732446
Score Iteration,-3,33,0.8433051360508338
Score Iteration,-4,43,0.802076057971764
Result SA test141,0.004445315338671207,7.92357915082539,919,-4
Start Anneal,7.92358735819289,1.1
Score Iteration,-5,967,0.8604460429904585
Score Iteration,-6,1210,0.25452606476130973
Result SA test141,7.92358735819289,15.28356146394799,1857,-6
Start Anneal,15.283570697236428,1.2100000000000002
Result SA test141,15.283570697236428,22.415684689363843,2814,-6
Start Anneal,22.415692896731343,1.3310000000000004
Result SA test141,22.415692896731343,31.86528119466675,3790,-6
Start Anneal,31.865288376113313,1.4641000000000006
Result SA test141,31.865288376113313,39.7369723432239,4785,-6
