start,16683.42065732805
Start Anneal,0.004613566368789179,1
Score Iteration,-1,5,0.9703725093562657
Score Iteration,-2,7,0.960693043575437
Score Iteration,-3,11,0.9416228069143758
Score Iteration,-4,41,0.8101573778154733
Score Iteration,-5,81,0.6629680834613707
Score Iteration,-6,91,0.6305556603555869
Result SA test142,0.004613566368789179,8.9916428482029,919,-6
Start Anneal,8.991654133333213,1.1
Result SA test142,8.991654133333213,16.25403238216677,1857,-6
Start Anneal,16.254043667297083,1.2100000000000002
Result SA test142,16.254043667297083,23.23116870859303,2814,-6
Start Anneal,23.231183071486157,1.3310000000000004
Result SA test142,23.231183071486157,32.42273584382929,3790,-6
Start Anneal,32.42274405119679,1.4641000000000006
Result SA test142,32.42274405119679,40.80687962049342,4785,-6
