start,33718.941954420385
Start Anneal,0.005910330408369191,1
Score Iteration,-1,4,0.9752487531218751
Score Iteration,-2,9,0.951110130465772
Score Iteration,-3,11,0.9416228069143758
Score Iteration,-4,228,0.3173112652388399
Score Iteration,-5,235,0.3063705780533405
Result SA test136,0.005910330408369191,6.9239012899925,919,-5
Start Anneal,6.923910523284576,1.1
Result SA test136,6.923910523284576,14.373418799383217,1857,-5
Start Anneal,14.373430084517167,1.2100000000000002
Score Iteration,-6,1984,0.6370004010584831
Result SA test136,14.373430084517167,21.545467789161194,2814,-6
Start Anneal,21.545475996528694,1.3310000000000004
Result SA test136,21.545475996528694,28.38139020491508,3790,-6
Start Anneal,28.381399438207154,1.4641000000000006
Result SA test136,28.381399438207154,35.62351882667281,4785,-6
