start,25300.8253554303
Start Anneal,0.0042442348385520745,1
Score Iteration,-1,2,0.985074875
Score Iteration,-2,9,0.951110130465772
Score Iteration,-3,11,0.9416228069143758
Score Iteration,-4,128,0.5238143793828018
Score Iteration,-5,139,0.49571413690105076
Score Iteration,-6,255,0.27714603575484464
Result SA test130,0.0042442348385520745,6.9040127870794095,919,-6
Start Anneal,6.9040281758934725,1.1
Result SA test130,6.9040281758934725,13.7766057201261,1857,-6
Start Anneal,13.7766139274936,1.2100000000000002
Result SA test130,13.7766139274936,21.22925844384372,2814,-6
Start Anneal,21.229267677132157,1.3310000000000004
Result SA test130,21.229267677132157,29.25268432208395,3790,-6
Start Anneal,29.25269252945145,1.4641000000000006
Result SA test130,29.25269252945145,37.10360262389804,4785,-6
