start,22809.645425316034
Start Anneal,0.0049921311874641106,1
Score Iteration,-1,18,0.9091562615825303
Score Iteration,-2,21,0.8955869907338784
Score Iteration,-3,32,0.8475428503023456
Score Iteration,-4,117,0.5535075230322893
Score Iteration,-5,123,0.5371084840724136
Result SA test136,0.0049921311874641106,8.932588788327848,919,-5
Start Anneal,8.932604177141911,1.1
Score Iteration,-6,1143,0.3561113804987437
Result SA test136,8.932604177141911,15.891045146676333,1857,-6
Start Anneal,15.891056431806646,1.2100000000000002
Result SA test136,15.891056431806646,24.200809656787897,2814,-6
Start Anneal,24.200827097443835,1.3310000000000004
Result SA test136,24.200827097443835,31.426014687083807,3790,-6
Start Anneal,31.42603417958162,1.4641000000000006
Result SA test136,31.42603417958162,40.46461906530385,4785,-6
