start,28373.533059275658
Start Anneal,0.006920862513652537,1
Score Iteration,-1,22,0.8911090557802089
Score Iteration,-2,23,0.8866535105013079
Score Iteration,-3,50,0.774420994283299
Score Iteration,-4,77,0.6763948591909947
Score Iteration,-5,380,0.14811319969530864
Result SA test139,0.006920862513652537,7.7393463242297,919,-5
Start Anneal,7.7393658167275134,1.1
Score Iteration,-6,1050,0.5675960227230868
Result SA test139,7.7393658167275134,15.09415081447878,1857,-6
Start Anneal,15.094166203292843,1.2100000000000002
Result SA test139,15.094166203292843,23.294831205232185,2814,-6
Start Anneal,23.294840438520623,1.3310000000000004
Result SA test139,23.294840438520623,30.579199043022527,3790,-6
Start Anneal,30.579212379994715,1.4641000000000006
Result SA test139,30.579212379994715,37.79870918630331,4785,-6
