start,10589.25611294979
Start Anneal,0.005318374038324691,1
Score Iteration,-1,13,0.932230119415405
Score Iteration,-2,19,0.9046104802746177
Score Iteration,-3,25,0.8778091417340574
Score Iteration,-4,115,0.5590843898207514
Score Iteration,-5,222,0.32699943802956727
Result SA test134,0.005318374038324691,6.749208502011243,919,-5
Start Anneal,6.7492177352996805,1.1
Score Iteration,-6,1565,0.04294631721786542
Result SA test134,6.7492177352996805,13.039234293662957,1857,-6
Start Anneal,13.039246604714208,1.2100000000000002
Result SA test134,13.039246604714208,20.336892936944423,2814,-6
Start Anneal,20.33690217023286,1.3310000000000004
Result SA test134,20.33690217023286,26.900828328549323,3790,-6
Start Anneal,26.900840639598755,1.4641000000000006
Result SA test134,26.900840639598755,33.71509970925399,4785,-6
