start,26770.906480126887
Start Anneal,0.005564595056057442,1
Score Iteration,-1,17,0.9137248860125933
Score Iteration,-2,20,0.9000874278732446
Score Iteration,-3,62,0.7292124703704618
Score Iteration,-4,235,0.3063705780533405
Result SA test137,0.005564595056057442,7.574901460295223,919,-4
Start Anneal,7.574912745425536,1.1
Score Iteration,-5,934,1.01522423637166
Result SA test137,7.574912745425536,14.220777155613177,1857,-5
Start Anneal,14.220786388901615,1.2100000000000002
Result SA test137,14.220786388901615,20.870632398171438,2814,-5
Start Anneal,20.87064368330175,1.3310000000000004
Score Iteration,-6,3221,0.17218487502877056
Result SA test137,20.87064368330175,28.110778940714226,3790,-6
Start Anneal,28.1107891999236,1.4641000000000006
Result SA test137,28.1107891999236,34.8128104693169,4785,-6
