start,3013.4998830450154
Start Anneal,0.010580322426449129,1
Score Iteration,-1,4,0.9752487531218751
Score Iteration,-2,8,0.9558895783575597
Score Iteration,-3,13,0.932230119415405
Score Iteration,-4,15,0.9229311239742363
Result SA test130,0.010580322426449129,8.658982860964898,919,-4
Start Anneal,8.658995172016148,1.1
Score Iteration,-5,1317,0.14886818815941186
Score Iteration,-6,1407,0.09481546293355997
Result SA test130,8.658995172016148,18.425636122265132,1857,-6
Start Anneal,18.425649459236865,1.2100000000000002
Result SA test130,18.425649459236865,26.929061672210082,2814,-6
Start Anneal,26.929069879577582,1.3310000000000004
Result SA test130,26.929069879577582,37.56412313513238,3790,-6
Start Anneal,37.564134420262235,1.4641000000000006
Result SA test130,37.564134420262235,48.48290405382386,4785,-6
