start,32966.056963233044
Start Anneal,0.006124747880676296,1
Score Iteration,-1,1,0.990025
Score Iteration,-2,7,0.960693043575437
Score Iteration,-3,89,0.6369088258938783
Score Iteration,-4,339,0.1819061798760768
Result SA test132,0.006124747880676296,10.696770606133214,919,-4
Start Anneal,10.696778813500714,1.1
Score Iteration,-5,1004,0.7147886195284726
Result SA test132,10.696778813500714,19.10824901973683,1857,-5
Start Anneal,19.108259278946207,1.2100000000000002
Score Iteration,-6,1971,0.6798915695307635
Result SA test132,19.108259278946207,26.344362667150563,2814,-6
Start Anneal,26.344371900435362,1.3310000000000004
Result SA test132,26.344371900435362,33.968155414710054,3790,-6
Start Anneal,33.968164647994854,1.4641000000000006
Result SA test132,33.968164647994854,45.31681669050158,4785,-6
