start,37988.661203979755
Start Anneal,0.005188082082895562,1
Score Iteration,-1,16,0.9183164683543651
Score Iteration,-2,27,0.8690529955452603
Score Iteration,-3,35,0.8348931673187266
Score Iteration,-4,136,0.5032248303978424
Result SA test142,0.005188082082895562,6.491673625831027,919,-4
Start Anneal,6.491683885040402,1.1
Score Iteration,-5,976,0.82249140523358
Score Iteration,-6,1173,0.3063926023420384
Result SA test142,6.491683885040402,13.319237863863236,1857,-6
Start Anneal,13.319246071230737,1.2100000000000002
Result SA test142,13.319246071230737,20.63154870969447,2814,-6
Start Anneal,20.631562046670297,1.3310000000000004
Result SA test142,20.631562046670297,28.240132179649663,3790,-6
Start Anneal,28.240141412934463,1.4641000000000006
Result SA test142,28.240141412934463,35.720251884100435,4785,-6
