start,30425.39724273494
Start Anneal,0.010619307420711266,1
Score Iteration,-1,3,0.9801495006250001
Score Iteration,-2,5,0.9703725093562657
Score Iteration,-3,47,0.786154447684293
Score Iteration,-4,223,0.32536444083941946
Score Iteration,-5,237,0.30331453153725846
Result SA test141,0.010619307420711266,6.7405497294639645,919,-5
Start Anneal,6.74055998867334,1.1
Result SA test141,6.74055998867334,15.233485238026333,1857,-5
Start Anneal,15.233493445393833,1.2100000000000002
Score Iteration,-6,2245,0.17217249793686898
Result SA test141,15.233493445393833,23.033035679480236,2814,-6
Start Anneal,23.03304696461055,1.3310000000000004
Result SA test141,23.03304696461055,31.283302931879007,3790,-6
Start Anneal,31.283312165167445,1.4641000000000006
Result SA test141,31.283312165167445,38.93197323577624,4785,-6
