start,526.0909530189775
Start Anneal,0.006930095800498748,1
Score Iteration,-1,11,0.9416228069143758
Score Iteration,-2,25,0.8778091417340574
Score Iteration,-3,32,0.8475428503023456
Score Iteration,-5,151,0.4667757370159046
Result SA test130,0.006930095800498748,7.575023544884971,919,-5
Start Anneal,7.575032778173295,1.1
Score Iteration,-6,1067,0.521232775039049
Result SA test130,7.575032778173295,15.433275129419826,1857,-6
Start Anneal,15.43328436270815,1.2100000000000002
Score Iteration,-7,1964,0.7041709276517616
Result SA test130,15.43328436270815,22.32446493094517,2814,-7
Start Anneal,22.324473138312555,1.3310000000000004
Result SA test130,22.324473138312555,30.23531548094138,3790,-7
Start Anneal,30.235324714229705,1.4641000000000006
Result SA test130,30.235324714229705,37.402429791101895,4785,-7
