start,37908.92555404859
Start Anneal,0.004009298951132223,1
Score Iteration,-1,8,0.9558895783575597
Score Iteration,-2,11,0.9416228069143758
Score Iteration,-3,12,0.936914692879804
Score Iteration,-4,38,0.8224322824348488
Result SA test130,0.004009298951132223,6.979845783571363,919,-4
Start Anneal,6.979859120539913,1.1
Score Iteration,-5,955,0.9137905716303462
Score Iteration,-6,1376,0.11075508295222057
Result SA test130,6.979859120539913,14.303133983223233,1857,-6
Start Anneal,14.303142190590734,1.2100000000000002
Result SA test130,14.303142190590734,22.228415136851254,2814,-6
Start Anneal,22.228423344218754,1.3310000000000004
Result SA test130,22.228423344218754,31.60771964454034,3790,-6
Start Anneal,31.607808899658266,1.4641000000000006
Result SA test130,31.607808899658266,41.105480059173715,4785,-6
