start,40436.09108536278
Start Anneal,0.005108060249767732,1
Score Iteration,-1,10,0.9463545798134431
Score Iteration,-2,36,0.830718701482133
Score Iteration,-3,43,0.802076057971764
Score Iteration,-4,62,0.7292124703704618
Score Iteration,-5,683,0.03243300806605901
Result SA test132,0.005108060249767732,6.429294556255627,919,-5
Start Anneal,6.429302763623127,1.1
Result SA test132,6.429302763623127,13.806487718698918,1857,-5
Start Anneal,13.806495926066418,1.2100000000000002
Score Iteration,-6,1896,0.9901673464374365
Result SA test132,13.806495926066418,22.060511893498187,2814,-6
Start Anneal,22.060529334150488,1.3310000000000004
Result SA test132,22.060529334150488,28.430645694104896,3790,-6
Start Anneal,28.430654927389696,1.4641000000000006
Result SA test132,28.430654927389696,38.44243147360976,4785,-6
