start,27492.19211497701
Start Anneal,0.0055020138825057074,1
Score Iteration,-1,7,0.960693043575437
Score Iteration,-2,11,0.9416228069143758
Score Iteration,-3,18,0.9091562615825303
Score Iteration,-4,28,0.864707730567534
Score Iteration,-5,109,0.576154398883004
Result SA test141,0.0055020138825057074,6.978744970423577,919,-5
Start Anneal,6.978754203712015,1.1
Result SA test141,6.978754203712015,15.253543017890479,1857,-5
Start Anneal,15.253552251178917,1.2100000000000002
Result SA test141,15.253552251178917,25.48807469525127,2814,-5
Start Anneal,25.488095213666384,1.3310000000000004
Score Iteration,-6,2991,0.545363952101736
Result SA test141,25.488095213666384,32.58864367099159,3790,-6
Start Anneal,32.58865393020096,1.4641000000000006
Result SA test141,32.58865393020096,40.70192072914142,4785,-6
