start,25660.78564305749
Start Anneal,0.004136513140110765,1
Score Iteration,-1,13,0.932230119415405
Score Iteration,-2,35,0.8348931673187266
Score Iteration,-3,52,0.7666961448653231
Score Iteration,-4,53,0.7628626641409965
Score Iteration,-5,63,0.7255664080186095
Score Iteration,-6,171,0.42225022364249604
Result SA test135,0.004136513140110765,7.909769229350786,919,-6
Start Anneal,7.909778462635586,1.1
Result SA test135,7.909778462635586,16.0274208142946,1857,-6
Start Anneal,16.027427995741164,1.2100000000000002
Result SA test135,16.027427995741164,22.076266961037618,2814,-6
Start Anneal,22.076275168405118,1.3310000000000004
Result SA test135,22.076275168405118,28.238906204154773,3790,-6
Start Anneal,28.238914411522273,1.4641000000000006
Result SA test135,28.238914411522273,34.96139356993808,4785,-6
