start,22784.291844749438
Start Anneal,0.005023934736527735,1
Score Iteration,-1,8,0.9558895783575597
Score Iteration,-2,10,0.9463545798134431
Score Iteration,-3,34,0.8390886103705796
Score Iteration,-4,64,0.7219385759785164
Score Iteration,-5,278,0.2469673422347276
Score Iteration,-6,299,0.2222921998407473
Result SA test137,0.005023934736527735,8.043993540803058,919,-6
Start Anneal,8.044003800012433,1.1
Result SA test137,8.044003800012433,16.050172662493424,1857,-6
Start Anneal,16.05018189578186,1.2100000000000002
Result SA test137,16.05018189578186,23.0323893493005,2814,-6
Start Anneal,23.032397556668002,1.3310000000000004
Result SA test137,23.032397556668002,30.29117379715899,3790,-6
Start Anneal,30.29118200452649,1.4641000000000006
Result SA test137,30.29118200452649,38.83717301335855,4785,-6
