start,13150.284916705481
Start Anneal,0.004631007022908307,1
Score Iteration,-1,2,0.985074875
Score Iteration,-2,20,0.9000874278732446
Score Iteration,-3,94,0.6211445383053221
Score Iteration,-4,192,0.3800621177172766
Score Iteration,-5,203,0.3596735257153408
Result SA test142,0.004631007022908307,6.632913184519566,919,-5
Start Anneal,6.632921391887066,1.1
Result SA test142,6.632921391887066,15.965276680612078,1857,-5
Start Anneal,15.965285913900516,1.2100000000000002
Score Iteration,-6,2157,0.26762869399826766
Result SA test142,15.965285913900516,22.917382588480905,2814,-6
Start Anneal,22.917391821769343,1.3310000000000004
Result SA test142,22.917391821769343,29.977381521523057,3790,-6
Start Anneal,29.97739280665337,1.4641000000000006
Result SA test142,29.97739280665337,37.59721729210105,4785,-6
