start,22319.193437389073
Start Anneal,0.00406572459905874,1
Score Iteration,-1,1,0.990025
Score Iteration,-2,9,0.951110130465772
Score Iteration,-3,15,0.9229311239742363
Score Iteration,-4,255,0.27714603575484464
Result SA test135,0.00406572459905874,5.81242164528885,919,-4
Start Anneal,5.812428826735413,1.1
Score Iteration,-5,944,0.965590055907463
Result SA test135,5.812428826735413,12.01604437723654,1857,-5
Start Anneal,12.016051558683102,1.2100000000000002
Score Iteration,-6,2416,0.073065201767769
Result SA test135,12.016051558683102,17.633142990805936,2814,-6
Start Anneal,17.6331501722525,1.3310000000000004
Result SA test135,17.6331501722525,23.516853828838066,3790,-6
Start Anneal,23.516862036205566,1.4641000000000006
Result SA test135,23.516862036205566,29.17901601873018,4785,-6
