start,37461.59163730823
Start Anneal,0.005796453187940642,1
Score Iteration,-1,5,0.9703725093562657
Score Iteration,-2,12,0.936914692879804
Score Iteration,-3,27,0.8690529955452603
Score Iteration,-4,29,0.8603841919146964
Result SA test142,0.005796453187940642,6.8271949065092485,919,-4
Start Anneal,6.827203113876749,1.1
Score Iteration,-5,971,0.8433657593518552
Score Iteration,-6,1242,0.2168057752804421
Result SA test142,6.827203113876749,14.892779978945327,1857,-6
Start Anneal,14.892789212237403,1.2100000000000002
Result SA test142,14.892789212237403,22.065982103835267,2814,-6
Start Anneal,22.065992363044643,1.3310000000000004
Result SA test142,22.065992363044643,30.26039411778038,3790,-6
Start Anneal,30.26040232514788,1.4641000000000006
Result SA test142,30.26040232514788,37.70861588905245,4785,-6
