start,184.9321281498337
Start Anneal,0.004483274411285265,1
Score Iteration,-1,5,0.9703725093562657
Score Iteration,-2,6,0.9655206468094844
Score Iteration,-3,39,0.8183201210226745
Score Iteration,-4,64,0.7219385759785164
Score Iteration,-5,68,0.7076077347272665
Result SA test135,0.004483274411285265,6.598897750565811,919,-5
Start Anneal,6.598910061616834,1.1
Result SA test135,6.598910061616834,13.928687211075044,1857,-5
Start Anneal,13.928696444363283,1.2100000000000002
Result SA test135,13.928696444363283,21.08539868312792,2814,-5
Start Anneal,21.085407916416187,1.3310000000000004
Result SA test135,21.085407916416187,31.071836008593124,3790,-5
Start Anneal,31.071844215960482,1.4641000000000006
Score Iteration,-6,3994,0.5239650189548319
Result SA test135,31.071844215960482,38.58122318499201,4785,-6
