start,18023.81985444234
Start Anneal,0.004081113413121784,1
Score Iteration,-1,12,0.936914692879804
Score Iteration,-2,34,0.8390886103705796
Score Iteration,-3,35,0.8348931673187266
Score Iteration,-4,156,0.45522245551230517
Score Iteration,-5,323,0.19709615934585684
Result SA test134,0.004081113413121784,6.748002019012347,919,-5
Start Anneal,6.748011252300785,1.1
Score Iteration,-6,1107,0.4265352675509387
Result SA test134,6.748011252300785,13.325802731822478,1857,-6
Start Anneal,13.325810939189978,1.2100000000000002
Result SA test134,13.325810939189978,22.975101925243507,2814,-6
Start Anneal,22.975111158531945,1.3310000000000004
Result SA test134,22.975111158531945,29.434996624720952,3790,-6
Start Anneal,29.435006883930328,1.4641000000000006
Result SA test134,29.435006883930328,37.26893901310541,4785,-6
