start,3150.085194524865
Start Anneal,0.004430952444636205,1
Score Iteration,-1,15,0.9229311239742363
Score Iteration,-2,20,0.9000874278732446
Score Iteration,-3,25,0.8778091417340574
Score Iteration,-4,27,0.8690529955452603
Score Iteration,-5,218,0.3336220013590309
Result SA test136,0.004430952444636205,7.716441613814823,919,-5
Start Anneal,7.716449821182323,1.1
Result SA test136,7.716449821182323,15.00353429756251,1857,-5
Start Anneal,15.003543530850493,1.2100000000000002
Result SA test136,15.003543530850493,22.67623679896269,2814,-5
Start Anneal,22.676247058172066,1.3310000000000004
Score Iteration,-6,3002,0.516107673736637
Result SA test136,22.676247058172066,30.22613041096338,3790,-6
Start Anneal,30.226139644251816,1.4641000000000006
Result SA test136,30.226139644251816,37.56524857037948,4785,-6
