start,32762.06792930174
Start Anneal,0.004991105266526574,1
Score Iteration,-1,7,0.960693043575437
Score Iteration,-2,11,0.9416228069143758
Score Iteration,-3,18,0.9091562615825303
Score Iteration,-4,52,0.7666961448653231
Score Iteration,-5,269,0.25836388200724486
Score Iteration,-6,571,0.056859388740770025
Result SA test141,0.004991105266526574,6.86044705529639,919,-6
Start Anneal,6.860457314505766,1.1
Result SA test141,6.860457314505766,14.352250973082846,1857,-6
Start Anneal,14.352260206374922,1.2100000000000002
Result SA test141,14.352260206374922,22.2466159998512,2814,-6
Start Anneal,22.246625233143277,1.3310000000000004
Result SA test141,22.246625233143277,30.033254200629017,3790,-6
Start Anneal,30.033262407996517,1.4641000000000006
Result SA test141,30.033262407996517,39.46029788639862,4785,-6
