start,24782.717996909927
Start Anneal,0.004536622298473958,1
Score Iteration,-1,16,0.9183164683543651
Score Iteration,-2,18,0.9091562615825303
Score Iteration,-3,33,0.8433051360508338
Score Iteration,-4,51,0.7705488893118825
Score Iteration,-5,60,0.7365596529082212
Result SA test131,0.004536622298473958,6.521830571211467,919,-5
Start Anneal,6.521839804499905,1.1
Result SA test131,6.521839804499905,13.30187723009658,1857,-5
Start Anneal,13.301885437460442,1.2100000000000002
Result SA test131,13.301885437460442,23.156391384723975,2814,-5
Start Anneal,23.156404721696163,1.3310000000000004
Result SA test131,23.156404721696163,30.226194018057868,3790,-5
Start Anneal,30.226202225425368,1.4641000000000006
Score Iteration,-6,3896,0.856328464782545
Result SA test131,30.226202225425368,37.1475643611484,4785,-6
