start,18666.7158865906
Start Anneal,0.004942886982462369,1
Score Iteration,-1,3,0.9801495006250001
Score Iteration,-2,7,0.960693043575437
Score Iteration,-3,32,0.8475428503023456
Score Iteration,-4,40,0.8142285204175611
Score Iteration,-5,44,0.7980656776819052
Result SA test142,0.004942886982462369,8.576955353972153,919,-5
Start Anneal,8.576965613181528,1.1
Result SA test142,8.576965613181528,15.544165895516926,1857,-5
Start Anneal,15.544175128805364,1.2100000000000002
Result SA test142,15.544175128805364,22.777983531916107,2814,-5
Start Anneal,22.777996868888295,1.3310000000000004
Score Iteration,-6,2822,1.2722890287939124
Result SA test142,22.777996868888295,30.069437405487406,3790,-6
Start Anneal,30.069450742459594,1.4641000000000006
Result SA test142,30.069450742459594,39.080480418248044,4785,-6
