start,26405.837261242556
Start Anneal,0.0039528732959297486,1
Score Iteration,-1,1,0.990025
Score Iteration,-2,19,0.9046104802746177
Score Iteration,-3,55,0.7552531090661899
Score Iteration,-4,172,0.42013897252428356
Score Iteration,-5,203,0.3596735257153408
Result SA test143,0.0039528732959297486,5.676888258745748,919,-5
Start Anneal,5.676896466113249,1.1
Result SA test143,5.676896466113249,12.308041988890182,1857,-5
Start Anneal,12.308049170336744,1.2100000000000002
Score Iteration,-6,2090,0.3744434730886009
Result SA test143,12.308049170336744,18.735476550526073,2814,-6
Start Anneal,18.735483731972636,1.3310000000000004
Result SA test143,18.735483731972636,24.813666087360616,3790,-6
Start Anneal,24.81367326880718,1.4641000000000006
Result SA test143,24.81367326880718,31.22476593614192,4785,-6
