start,15326.183707555087
Start Anneal,0.004204223921988159,1
Score Iteration,-1,10,0.9463545798134431
Score Iteration,-2,11,0.9416228069143758
Score Iteration,-3,14,0.927568968818328
Score Iteration,-4,19,0.9046104802746177
Score Iteration,-5,50,0.774420994283299
Result SA test139,0.004204223921988159,5.910106757330141,919,-5
Start Anneal,5.9101159906185785,1.1
Score Iteration,-6,1272,0.18653626176710236
Result SA test139,5.9101159906185785,12.774893458112274,1857,-6
Start Anneal,12.774905769163524,1.2100000000000002
Result SA test139,12.774905769163524,18.99447951954062,2814,-6
Start Anneal,18.994488752829056,1.3310000000000004
Result SA test139,18.994488752829056,25.799658163150525,3790,-6
Start Anneal,25.799666370518025,1.4641000000000006
Result SA test139,25.799666370518025,33.48314001563449,4785,-6
