start,22181.710234792263
Start Anneal,0.0062140029986039735,1
Score Iteration,-1,3,0.9801495006250001
Score Iteration,-2,27,0.8690529955452603
Score Iteration,-3,51,0.7705488893118825
Score Iteration,-4,87,0.6433260027715243
Score Iteration,-5,452,0.10324180238648378
Result SA test136,0.0062140029986039735,7.244284081603837,919,-5
Start Anneal,7.244293314892275,1.1
Result SA test136,7.244293314892275,15.777740388657548,1857,-5
Start Anneal,15.777748596025049,1.2100000000000002
Result SA test136,15.777748596025049,22.68657090036868,2814,-5
Start Anneal,22.68657808181524,1.3310000000000004
Result SA test136,22.68657808181524,30.402016344971344,3790,-5
Start Anneal,30.40202557825978,1.4641000000000006
Score Iteration,-6,3877,0.9418936006577898
Result SA test136,30.40202557825978,38.09462273809913,4785,-6
