start,16809.446930136837
Start Anneal,0.005379929294576868,1
Score Iteration,-1,5,0.9703725093562657
Score Iteration,-3,9,0.951110130465772
Score Iteration,-4,124,0.5344229416520515
Result SA test131,0.005379929294576868,8.069928821605572,919,-4
Start Anneal,8.069939080814947,1.1
Score Iteration,-5,1000,0.7292648918075071
Score Iteration,-6,1013,0.6832589921358538
Result SA test131,8.069939080814947,16.68049231893019,1857,-6
Start Anneal,16.68050155221863,1.2100000000000002
Score Iteration,-7,2039,0.4835141038953058
Result SA test131,16.68050155221863,27.18411074200776,2814,-7
Start Anneal,27.1841199752962,1.3310000000000004
Result SA test131,27.1841199752962,34.926751298302406,3790,-7
Start Anneal,34.926760531590844,1.4641000000000006
Result SA test131,34.926760531590844,42.76388635258627,4785,-7
