start,6515.563579397046
Start Anneal,0.004410434025885479,1
Score Iteration,-1,20,0.9000874278732446
Score Iteration,-2,36,0.830718701482133
Score Iteration,-3,55,0.7552531090661899
Score Iteration,-4,402,0.13264825480308748
Score Iteration,-5,907,0.010552547534153666
Result SA test135,0.004410434025885479,7.615741320196321,919,-5
Start Anneal,7.615753631246662,1.1
Score Iteration,-6,1260,0.19810083230499384
Result SA test135,7.615753631246662,15.58482827109765,1857,-6
Start Anneal,15.58484058214799,1.2100000000000002
Result SA test135,15.58484058214799,22.764210543594345,2814,-6
Start Anneal,22.764219776882783,1.3310000000000004
Result SA test135,22.764219776882783,33.82860759961204,3790,-6
Start Anneal,33.82861683289957,1.4641000000000006
Result SA test135,33.82861683289957,41.94104237668944,4785,-6
