start,1497005799.551906
Start Anneal,0.004848957061767578,1
Score Iteration,-9,0,0.995
Score Iteration,-14,2,0.985074875
Score Iteration,-15,11,0.9416228069143758
Score Iteration,-16,306,0.21462770857094146
Score Iteration,-18,317,0.2031139149609754
Score Iteration,-19,322,0.1980865923073938
Score Iteration,-20,336,0.18466228760131234
Score Iteration,-21,372,0.1541732821797812
Score Iteration,-23,420,0.12120401149972053
Result SA test117,0.004848957061767578,18.336902856826782,919,-23
Start Anneal,18.33690595626831,1.1
Score Iteration,-24,940,0.9851456898072661
Score Iteration,-27,941,0.9802199613582298
Result SA test117,18.33690595626831,23.916868925094604,1857,-27
Start Anneal,23.916871786117554,1.2100000000000002
Result SA test117,23.916871786117554,36.5265429019928,2814,-27
Start Anneal,36.52654695510864,1.3310000000000004
Result SA test117,36.52654695510864,52.915865898132324,3790,-27
Start Anneal,52.91586995124817,1.4641000000000006
Result SA test117,52.91586995124817,69.51646995544434,4785,-27
Start Anneal,69.51647400856018,1.6105100000000008
Result SA test117,69.51647400856018,100.40268588066101,5799,-27
Start Anneal,100.40269088745117,1.771561000000001
Result SA test117,100.40269088745117,119.10271382331848,6832,-27
Start Anneal,119.10271692276001,1.9487171000000014
Result SA test117,119.10271692276001,135.52774786949158,7884,-27
Start Anneal,135.52775192260742,2.1435888100000016
Score Iteration,-30,8435,0.1347355045136713
Result SA test117,135.52775192260742,158.28220391273499,8955,-30
Start Anneal,158.28220677375793,2.357947691000002
Result SA test117,158.28220677375793,180.91084790229797,10045,-30
