protein,rep_num,theo_score,high_score,min_bond,min_count,odd_even_bond,odd_even_count,even1,even2,even3,even4,odd1,odd2,odd3,odd4
PPPPHPPHPPHPPPPHPPPH,3,5,4,4,2,1.75,1.5,1,0,1,0,0,1,0,2
PPPPPPPPHPPHPPHPHHPP,3,5,4,4,2,0.6666666666666666,0.6666666666666666,0,1,1,1,0,0,1,1
PHPPPPPPPHPPPHPPHHPP,3,3,2,2,1,4.0,4.0,0,0,0,1,1,1,1,1
