protein;theo_score;high_score;percent_high;min_bond;min_count;odd_even_bond;odd_even_count;even1;even2;even3;even4;odd1;odd2;odd3;odd4;percentage;iterations;absoddeven;oddeven;absoutside;outside
HPPHPPHHPHHHPP;7;5;0.013039;7;3;1.142857143;1.333333333;1;0;1;1;0;1;1;2;100;990;1;-1;0;0
HPPHPPHPHHPPHH;7;6;0.001185;7;3;0.777777778;0.75;1;0;2;1;0;1;0;2;14;2525;1;1;0;0
HPPHPPPHPHHHHP;7;5;0.002371;7;3;1.142857143;1.333333333;1;0;0;2;0;1;1;2;35;2930;1;-1;1;1
HPPHPPPPHHHHHP;6;4;0.041487;6;3;0.666666667;0.75;1;0;1;2;0;1;0;2;100;459;1;1;1;1
HPPPHHHPHPHPPH;5;5;0.004741;5;2;0.454545455;0.4;1;1;2;1;0;1;0;1;78;1963;3;3;1;1
HPPPPHHHHHPPHP;6;4;0.058082;6;3;0.666666667;0.75;1;0;2;1;0;1;1;1;100;118;1;1;1;1
HPPPPHPHPHHPHH;7;5;0.004741;7;3;1.285714286;1.333333333;1;0;0;2;0;1;1;2;64;2317;1;-1;1;1
HPPPPHPHPHPHHH;5;5;0.002371;5;2;2.2;2.5;1;0;0;1;0;1;1;3;71;1618;3;-3;1;-1
HPPPPHPPHHHPHH;7;5;0.010668;7;3;0.777777778;0.75;1;0;1;2;0;1;0;2;85;1148;1;1;1;1
PHHHHHHPPPHPPP;6;3;0.241812;6;3;0.75;0.75;1;1;1;1;1;2;0;0;100;79;1;1;1;1
PHHHHPHPHPPPPH;7;4;0.041487;7;3;0.875;0.75;1;1;2;0;1;1;0;1;42;1746;1;1;1;-1
PHHHPHPHHHPPPP;4;3;0.501405;4;2;2.5;2.5;1;0;1;0;1;2;1;1;100;133;3;-3;1;-1
PHHHPHPHPHHPPP;4;4;0.005927;4;2;2.5;2.5;1;0;0;1;1;2;1;1;92;730;3;-3;0;0
PHHHPPHHHHPPPP;6;3;1.066818;6;3;1.333333333;1.333333333;1;0;2;0;1;1;1;1;100;253;1;-1;1;-1
PHHHPPHHPPPHPH;4;4;0.002371;4;2;2.75;2.5;1;0;1;0;1;1;1;2;7;1262;3;-3;2;-2
PHHHPPHPHPHHPP;6;4;0.027263;6;3;0.75;0.75;1;0;2;1;1;1;0;1;100;949;1;1;0;0
PHHHPPPPHHHPHP;6;4;0.047414;6;3;0.75;0.75;1;0;1;2;1;1;0;1;100;389;1;1;1;1
PHHPHHPPHHPPHP;6;5;0.001185;6;3;0.75;0.75;1;1;1;1;1;1;0;1;57;1443;1;1;0;0
PHHPHPHHHPPHPP;6;5;0.007112;6;3;0.75;0.75;1;1;2;0;1;0;1;1;57;1453;1;1;1;-1
PHHPHPPHHHPHPP;6;4;0.067565;6;3;1.333333333;1.333333333;1;1;1;0;1;0;1;2;100;342;1;-1;2;-2
PHHPHPPHHHPPHP;6;5;0.002371;6;3;0.75;0.75;1;1;1;1;1;0;1;1;85;1296;1;1;0;0
PHHPPHPHHHPPPH;4;4;0.014224;4;2;2.75;2.5;1;0;1;0;1;1;1;2;100;652;3;-3;2;-2
PHHPPHPPPPHHHH;6;4;0.034375;6;3;1.5;1.333333333;1;0;0;2;1;1;0;2;100;893;1;-1;0;0
PHHPPPPHHPPHHH;6;4;0.049785;6;3;1.5;1.333333333;1;0;1;1;1;0;1;2;100;564;1;-1;1;-1
PHPHHHPHPHPPPH;2;2;1.538589;2;1;6.5;6;0;1;0;0;1;2;1;2;100;71;5;-5;3;-3
PHPHHHPPPHPHPH;2;2;0.550004;2;1;6.5;6;0;1;0;0;1;2;0;3;100;80;5;-5;4;-4
PHPHHPPHHHPHPP;4;4;0.016595;4;2;2.5;2.5;0;1;1;0;1;1;1;2;100;270;3;-3;3;-3
PHPHHPPHPPHHPH;4;4;0.042673;4;2;2.75;2.5;0;1;0;1;1;1;1;2;100;469;3;-3;2;-2
PHPHPPHHHPPHHP;6;5;0.004741;6;3;1.333333333;1.333333333;0;0;2;1;1;1;1;1;57;1533;1;-1;1;-1
PHPPHPHHPHHPPH;6;5;0.008297;6;3;1.5;1.333333333;0;1;1;1;1;0;1;2;100;974;1;-1;2;-2
PHPPPPPHHHHHPH;4;3;0.129204;4;2;2.75;2.5;0;0;1;1;1;0;1;3;100;143;3;-3;3;-3
PPHHHPHHPHHPPP;6;3;1.248178;6;3;0.75;0.75;1;1;1;1;0;1;1;1;100;52;1;1;1;1
PPHHPHHPHPHPHP;4;4;0.007112;4;2;0.4;0.4;1;0;2;2;0;2;0;0;100;1333;3;3;3;3
PPHHPHPHHHHPPP;6;4;0.080604;6;3;1.333333333;1.333333333;1;0;1;1;0;2;1;1;100;1693;1;-1;1;1
PPHHPHPHHHPPPH;4;4;0.009483;4;2;2.75;2.5;1;0;1;0;0;2;1;2;85;1479;3;-3;1;-1
PPHHPPHHHHPPPH;6;4;0.088902;6;3;1.5;1.333333333;1;0;2;0;0;1;1;2;100;166;1;-1;1;-1
PPHPHHHHPPHPPH;7;5;0.01541;7;3;0.875;0.75;1;1;1;1;0;1;1;1;85;1685;1;1;1;1
PPHPHHHPHHHPPP;4;3;0.576082;4;2;0.4;0.4;1;1;2;1;0;1;0;1;100;160;3;3;1;1
PPHPHHHPPHPHPH;6;5;0.009483;6;3;1.5;1.333333333;1;1;1;0;0;1;0;3;92;1016;1;-1;2;-2
PPHPHHHPPPHPHH;5;4;0.052156;5;2;0.5;0.4;1;1;1;2;0;1;0;1;100;624;3;3;2;2
PPHPHHPHHHHPPP;6;3;1.00518;6;3;0.75;0.75;1;1;1;1;0;1;1;1;100;45;1;1;1;1
PPHPHHPHHPPPHH;7;4;0.107867;7;3;0.875;0.75;1;1;1;1;0;1;1;1;100;304;1;1;1;1
PPHPHPHPHHPHHP;4;4;0.011854;4;2;0.4;0.4;1;1;2;1;0;0;0;2;85;1770;3;3;0;0
PPHPPHHHHHPHPP;6;4;0.062824;6;3;1.333333333;1.333333333;1;0;2;0;0;1;1;2;100;293;1;-1;1;-1
PPHPPHHHPPPHHH;6;4;0.046229;6;3;1.5;1.333333333;1;0;1;1;0;1;1;2;100;630;1;-1;0;0
PPHPPHHPPPHHHH;7;4;0.058082;7;3;0.875;0.75;1;0;1;2;0;1;0;2;100;622;1;1;1;1
PPPHHHHHPPPPHH;6;3;0.611643;6;3;1.5;1.333333333;0;1;1;1;0;2;1;1;100;63;1;-1;0;0
PPPHHHPHHHPPPH;4;3;0.372201;4;2;2.75;2.5;0;1;1;0;0;2;1;2;100;290;3;-3;2;-2
PPPHHHPHPPPHHH;4;3;0.181359;4;2;2.75;2.5;0;1;0;1;0;2;1;2;100;406;3;-3;1;-1
PPPHHHPPHHPHHP;6;4;0.073492;6;3;1.333333333;1.333333333;0;1;1;1;0;2;0;2;100;523;1;-1;1;-1
PPPHPHPHHPPHHH;4;4;0.010668;4;2;2.75;2.5;0;0;1;1;0;2;1;2;78;2382;3;-3;1;-1
PPPHPHPPPHHHHH;4;3;0.123277;4;2;2.75;2.5;0;0;0;2;0;2;0;3;100;239;3;-3;1;-1
PPPPHHPPHHHPHH;7;4;0.265519;7;3;0.875;0.75;0;1;1;2;0;1;0;2;100;372;1;1;0;0
PPPPHPHHHPHHPH;7;4;0.495478;7;3;0.875;0.75;0;1;2;1;0;0;1;2;100;98;1;1;1;-1
PPPPPHPPHHHHHH;6;3;1.132013;6;3;1.5;1.333333333;0;0;1;2;0;1;0;3;100;64;1;-1;1;-1
