protein,theo_score,high_score,percent_high,high_SA,iterations,min_bond,min_count,odd_even_bond,odd_even_count,even1,even2,even3,even4,odd1,odd2,odd3,odd4
HPHPHHHHHPHPPH,7,6,0.016594953,-6,536,7,3,0.538461538,0.5,2,1,2,1,0,1,1,1
HPHPHHHHPHHPPH,9,7,0.002370708,-7,13483,9,4,0.818181818,0.8,2,1,1,1,0,1,1,2
HPHPHHPHPPHHHH,9,7,0.001185354,-7,62536,9,4,0.818181818,0.8,2,1,0,2,0,1,1,2
HPHPHPHHHHPHPH,9,7,0.002370708,-7,24195,9,4,0.818181818,0.8,2,1,2,0,0,0,1,3
HPHPHPHHPHHPHH,7,6,0.003556061,-6,2214,7,3,0.538461538,0.5,2,1,1,2,0,0,1,2
HPHPHPHPHPHHHH,5,5,0.011853538,-5,1136,5,2,0.333333333,0.285714286,2,1,2,2,0,0,0,2
HPHPPPHPHHHHHH,7,5,0.02844849,-5,999,7,3,0.538461538,0.5,2,0,2,2,0,0,0,3
HPPHHHHHHHHPPP,8,5,0.054526273,-5,169,8,4,0.727272727,0.8,1,1,2,1,0,2,1,1
HPPHHHHPHHPHHP,8,6,0.004741415,-6,44,8,4,0.727272727,0.8,1,1,2,1,0,2,0,2
HPPHHHPHHHPHHP,9,6,0.013038891,-6,75,9,4,1.111111111,1.25,1,1,1,1,0,2,1,2
HPPHHHPHHPHHPH,9,6,0.023707075,-6,1903,9,4,1.222222222,1.25,1,1,1,1,0,2,1,2
HPPHHPHHHPHHPH,9,6,0.035560613,-6,77,9,4,0.818181818,0.8,1,1,2,1,0,1,1,2
HPPHPHPPHHHHHH,9,6,0.017780307,-6,1249,9,4,1.222222222,1.25,1,0,1,2,0,2,0,3
PHHHHHHHPPHPPH,8,5,0.05334092,-5,295,8,4,1.375,1.25,1,1,1,1,1,2,1,1
PHHHHHHPPHPPHH,8,6,0.002370708,-6,979,8,4,1.375,1.25,1,1,1,1,1,2,0,2
PHHHHHPHHPHHPP,8,5,0.014224245,-5,1072,8,4,1.25,1.25,1,1,1,1,1,2,1,1
PHHHHHPPPHHPHH,8,5,0.017780307,-5,165,8,4,1.375,1.25,1,1,0,2,1,2,0,2
PHHHHPHPHPHHHP,6,5,0.008297476,-5,2084,6,3,0.5,0.5,1,1,2,2,1,1,0,1
PHHHHPHPHPPHHH,9,6,0.007112123,-6,1277,9,4,0.9,0.8,1,1,2,1,1,1,0,2
PHHHHPPHPHHHHP,8,5,0.045043443,-5,246,8,4,1.25,1.25,1,1,0,2,1,1,1,2
PHHHHPPHPPHHHH,8,6,0.003556061,-6,16272,8,4,1.375,1.25,1,1,0,2,1,1,1,2
PHHHPHHHHPHPHP,8,6,0.002370708,-6,8225,8,4,0.8,0.8,1,0,2,2,1,2,1,0
PHHHPHPPHHHHPH,6,5,0.036745967,-5,433,6,3,2.166666667,2,1,0,1,1,1,2,0,3
PHHHPPHHHPHHHP,8,5,0.055711627,-5,81,8,4,0.8,0.8,1,0,2,2,1,1,1,1
PHHHPPPHHHHHPH,6,4,0.248924291,-4,33,6,3,2.166666667,2,1,0,1,1,1,1,1,3
PHHPHHHHHHHPPP,8,4,0.580823347,-4,202,8,4,0.8,0.8,1,1,2,1,1,1,1,1
PHHPHHHHHPPHPH,8,6,0.003556061,-6,1116,8,4,1.375,1.25,1,1,2,0,1,1,1,2
