protein,theo_score,high_score,percent_high,min_bond,min_count,odd_even_bond,odd_even_count,even1,even2,even3,even4,odd1,odd2,odd3,odd4
PHHPHHPPHHHHPH,8,6,0.004741415075329232,8,4,1.375,1.25,1,1,1,1,1,1,0,3
HHHPHPHHPHHPHP,6,5,0.03437525929613693,6,3,0.46153846153846156,0.5,2,1,1,2,1,0,1,1
HHPHPHHHHHPPPH,7,5,0.08771617889359079,7,3,1.8571428571428572,2.0,1,0,2,0,1,2,1,2
HPHPHPHPHPHHHH,5,5,0.01185353768832308,5,2,0.3333333333333333,0.2857142857142857,2,1,2,2,0,0,0,2
HHHPPHHHPPHPHH,9,6,0.01778030653248462,9,4,0.8181818181818182,0.8,2,0,1,2,1,1,1,1
HHHPHHPHHPPHPH,9,6,0.013038891457155389,9,4,1.2222222222222223,1.25,2,1,1,0,1,1,1,2
PHHHHHPHHPHHPP,8,5,0.014224245225987696,8,4,1.25,1.25,1,1,1,1,1,2,1,1
PHHHPHPPHHHHPH,6,5,0.03674596683380155,6,3,2.1666666666666665,2.0,1,0,1,1,1,2,0,3
PHHHHHHPPHPPHH,8,6,0.002370707537664616,8,4,1.375,1.25,1,1,1,1,1,2,0,2
HHHHHHPHPHPPPH,7,5,0.024892429145478467,7,3,1.8571428571428572,2.0,2,1,0,0,1,2,1,2
PPHHHHHPHPHHPH,9,6,0.004741415075329232,9,4,0.9,0.8,1,1,2,1,0,2,0,2
PHPHHHHPPHHPHH,8,6,0.004741415075329232,8,4,1.375,1.25,0,1,1,2,1,2,0,2
HPHPHHHHPHHPPH,9,7,0.002370707537664616,9,4,0.8181818181818182,0.8,2,1,1,1,0,1,1,2
PPHPHPHHHHPHHH,9,6,0.008297476381826157,9,4,0.9,0.8,1,1,2,1,0,0,1,3
HHPHPPHPHHPHHH,9,6,0.020151014070149235,9,4,1.2222222222222223,1.25,1,0,2,1,1,1,0,3
HHPHPHHPPHPHHH,7,6,0.007112122612993848,7,3,1.8571428571428572,2.0,1,0,1,1,1,2,0,3
HHHPHPHPPHPHHH,9,7,0.002370707537664616,9,4,0.8181818181818182,0.8,2,1,1,1,1,0,0,3
HHHHPHHHPPHPPH,9,6,0.016594952763652315,9,4,1.2222222222222223,1.25,2,0,1,1,1,2,1,1
HHPHHHPHPHPHHP,7,6,0.002370707537664616,7,3,1.7142857142857142,2.0,1,1,0,1,1,2,1,2
PHHPPPHHPHHHHH,8,5,0.020151014070149235,8,4,1.375,1.25,1,0,1,2,1,0,1,3
HHHHPPHHPHHPPH,9,6,0.021336367838981542,9,4,1.2222222222222223,1.25,2,0,1,1,1,1,1,2
HHHHHHPPPHPHPH,7,5,0.022521721607813853,7,3,1.8571428571428572,2.0,2,1,0,0,1,2,0,3
PHPPHHHHHPPHHH,8,5,0.05689698090395078,8,4,1.375,1.25,0,1,2,1,1,1,1,2
HHPHHHPPHHPHPH,7,6,0.003556061306496924,7,3,1.8571428571428572,2.0,1,1,1,0,1,2,0,3
HHHPHHHPPHHPHP,6,5,0.03674596683380155,6,3,0.46153846153846156,0.5,2,1,1,2,1,1,0,1
PHPPHHPHHHHHHP,8,5,0.0296338442208077,8,4,1.25,1.25,0,1,1,2,1,1,1,2
PHPPHHHHHHPPHH,8,6,0.001185353768832308,8,4,1.375,1.25,0,1,2,1,1,1,1,2
PHPHPHHHHPHHPH,6,5,0.04148738190913078,6,3,2.1666666666666665,2.0,0,0,2,1,1,2,1,2
HHPHHPHPHHHPPH,9,6,0.016594952763652315,9,4,0.8181818181818182,0.8,1,1,2,1,1,1,0,2
PHHPHHHHHHHPPP,8,4,0.580823346727831,8,4,0.8,0.8,1,1,2,1,1,1,1,1
HPHPHPHHPHHPHH,7,6,0.003556061306496924,7,3,0.5384615384615384,0.5,2,1,1,2,0,0,1,2
PHHHPHHHHPHPHP,8,6,0.002370707537664616,8,4,0.8,0.8,1,0,2,2,1,2,1,0
HPPHHHHHHHHPPP,8,5,0.05452627336628617,8,4,0.7272727272727273,0.8,1,1,2,1,0,2,1,1
HHPHHHHPPHHPPH,9,6,0.020151014070149235,9,4,1.2222222222222223,1.25,1,1,1,1,1,2,0,2
HHPHHPHHHPPPHH,9,6,0.002370707537664616,9,4,0.8181818181818182,0.8,1,1,2,1,1,1,1,1
HHHPPPHPHHHHHP,6,4,0.1766177115560139,6,3,0.46153846153846156,0.5,2,0,2,2,1,0,0,2
HPHHHHHPPPHPHH,7,5,0.06637981105460926,7,3,0.5384615384615384,0.5,2,1,1,2,0,2,0,1
PHPHHHHPPHHHPH,6,5,0.03793132060263386,6,3,2.1666666666666665,2.0,0,1,1,1,1,2,0,3
PHHPHPHPHHPHHH,9,6,0.001185353768832308,9,4,0.9,0.8,1,1,2,1,1,0,0,3
HHPHPHPHHHPHPH,5,5,0.042672735677963085,5,2,3.0,3.5,1,0,1,0,1,2,1,3
HHHHPHHPHPPHHP,8,5,0.06400910351694464,8,4,0.7272727272727273,0.8,2,0,2,1,1,2,0,1
PHPHHPHHPHHHHP,8,5,0.04859950452212462,8,4,1.25,1.25,0,1,1,2,1,1,1,2
HHHPHHHPHHHPPP,6,4,0.7372900442136956,6,3,0.46153846153846156,0.5,2,1,2,1,1,1,0,1
HPHHHPHPHHPHPH,9,6,0.009482830150658464,9,4,0.8181818181818182,0.8,2,1,2,0,0,1,0,3
HHHHHHHPPHPHPP,9,5,0.0592676884416154,9,4,1.1111111111111112,1.25,2,1,1,0,1,2,0,2
HHHHPHHPPHHPPH,9,6,0.021336367838981542,9,4,1.2222222222222223,1.25,2,0,1,1,1,2,0,2
HPHHPPPHHHHHPH,9,6,0.003556061306496924,9,4,1.2222222222222223,1.25,2,0,1,1,0,1,1,3
HHPPHHPPPHHHHH,9,6,0.001185353768832308,9,4,1.2222222222222223,1.25,1,1,0,2,1,1,0,3
HPHHHHHPPHPPHH,9,6,0.014224245225987696,9,4,0.8181818181818182,0.8,2,1,1,1,0,2,0,2
HHHPPPHHHPHHPH,9,6,0.002370707537664616,9,4,0.8181818181818182,0.8,2,0,2,1,1,0,1,2
HPHPPPHPHHHHHH,7,5,0.02844849045197539,7,3,0.5384615384615384,0.5,2,0,2,2,0,0,0,3
PPHPHPHHHHHHHP,6,4,0.1943980180884985,6,3,0.5,0.5,1,1,2,2,0,0,1,2
HHHHHPPPHHHHPP,8,5,0.003556061306496924,8,4,0.7272727272727273,0.8,2,1,1,1,1,1,0,2
HPPHHHHPHHPHHP,8,6,0.004741415075329232,8,4,0.7272727272727273,0.8,1,1,2,1,0,2,0,2
HHPHHHPHPHHPHP,9,6,0.004741415075329232,9,4,1.1111111111111112,1.25,1,1,0,2,1,2,1,1
HHHHPHHPHPPHPH,9,6,0.01185353768832308,9,4,1.2222222222222223,1.25,2,0,2,0,1,2,0,2
HHPHPHHPHPHPHH,9,6,0.01778030653248462,9,4,0.8181818181818182,0.8,1,0,2,2,1,2,0,1
PPHHHHHPHHHPPH,9,5,0.13157426834038619,9,4,0.9,0.8,1,1,2,1,0,2,0,2
PPPHHHHHHHHHPP,8,4,0.27026065929376625,8,4,1.25,1.25,0,1,2,1,0,2,1,2
HPHHHHHPPHHHPP,8,5,0.1161646693455662,8,4,0.7272727272727273,0.8,2,1,1,1,0,2,0,2
PHHHPPPHHHHHPH,6,4,0.24892429145478467,6,3,2.1666666666666665,2.0,1,0,1,1,1,1,1,3
HHHHPHPPPHHPHH,9,6,0.00592676884416154,9,4,1.2222222222222223,1.25,2,0,0,2,1,2,0,2
HHPHHHPHHPHPPH,9,6,0.024892429145478467,9,4,1.2222222222222223,1.25,1,1,1,1,1,2,1,1
HPPHHPHHHPHHPH,9,6,0.03556061306496924,9,4,0.8181818181818182,0.8,1,1,2,1,0,1,1,2
PHHHHPPHPHHHHP,8,5,0.045043443215627706,8,4,1.25,1.25,1,1,0,2,1,1,1,2
HHHHPHHPPPHHPH,9,5,0.07704799497410002,9,4,1.2222222222222223,1.25,2,0,1,1,1,2,0,2
PPPHPHPHHHHHHH,6,4,0.22995863115346776,6,3,2.1666666666666665,2.0,0,0,1,2,0,2,1,3
HPHPHHPHPPHHHH,9,7,0.001185353768832308,9,4,0.8181818181818182,0.8,2,1,0,2,0,1,1,2
HHHHPHHPHHPPPH,9,6,0.002370707537664616,9,4,1.2222222222222223,1.25,2,0,2,0,1,2,0,2
