-3,"[0H[50, 50]3, 1P[51, 50]0, 2H[51, 51]2, 3P[52, 51]0, 4H[52, 52]2, 5P[52, 53]0, 6P[53, 53]0, 7H[53, 52]2, 8H[54, 52]2, 9H[54, 51]2, 10H[53, 51]2, 11P[53, 50]0, 12H[53, 49]2, 13H[53, 48]2, 14P[53, 47]0, 15P[53, 46]0, 16P[54, 46]0, 17H[55, 46]2, 18P[55, 45]0, 19H[55, 44]2, 20P[55, 43]0, 21H[55, 42]2, 22H[55, 41]2, 23H[56, 41]2, 24H[56, 40]2, 25H[57, 40]2, 26P[57, 39]0, 27H[57, 38]2, 28H[57, 37]2, 29H[58, 37]2, 30H[58, 36]2, 31P[59, 36]0, 32H[59, 37]2, 33P[59, 38]0, 34P[60, 38]0, 35P[60, 39]0, 36P[60, 40]0, 37P[60, 41]0, 38P[59, 41]0, 39P[59, 42]0, 40P[59, 43]0, 41P[58, 43]0, 42H[58, 44]2, 43P[58, 45]0, 44H[57, 45]2, 45H[57, 46]2, 46P[56, 46]0, 47H[56, 47]2, 48P[56, 48]0, 49P[55, 48]0]"
-1,"[0H[50, 50]3, 1P[51, 50]0, 2H[52, 50]2, 3P[53, 50]0, 4H[54, 50]2, 5P[54, 51]0, 6P[54, 52]0, 7H[54, 53]2, 8H[54, 54]2, 9H[54, 55]2, 10H[54, 56]2, 11P[54, 57]0, 12H[54, 58]2, 13H[53, 58]2, 14P[52, 58]0, 15P[51, 58]0, 16P[50, 58]0, 17H[49, 58]2, 18P[48, 58]0, 19H[47, 58]2, 20P[47, 59]0, 21H[46, 59]2, 22H[45, 59]2, 23H[44, 59]2, 24H[43, 59]2, 25H[42, 59]2, 26P[42, 60]0, 27H[42, 61]2, 28H[41, 61]2, 29H[41, 62]2, 30H[42, 62]2, 31P[43, 62]0, 32H[44, 62]2, 33P[44, 63]0, 34P[44, 64]0, 35P[43, 64]0, 36P[42, 64]0, 37P[42, 63]0, 38P[41, 63]0, 39P[41, 64]0, 40P[41, 65]0, 41P[42, 65]0, 42H[43, 65]2, 43P[44, 65]0, 44H[45, 65]2, 45H[46, 65]2, 46P[47, 65]0, 47H[47, 66]2, 48P[46, 66]0, 49P[45, 66]0]"
-3,"[0H[50, 50]3, 1P[51, 50]0, 2H[51, 51]2, 3P[50, 51]0, 4H[50, 52]2, 5P[50, 53]0, 6P[49, 53]0, 7H[48, 53]2, 8H[48, 52]2, 9H[48, 51]2, 10H[47, 51]2, 11P[47, 50]0, 12H[48, 50]2, 13H[48, 49]2, 14P[48, 48]0, 15P[48, 47]0, 16P[49, 47]0, 17H[49, 48]2, 18P[49, 49]0, 19H[50, 49]2, 20P[50, 48]0, 21H[50, 47]2, 22H[50, 46]2, 23H[50, 45]2, 24H[51, 45]2, 25H[52, 45]2, 26P[53, 45]0, 27H[54, 45]2, 28H[54, 46]2, 29H[55, 46]2, 30H[55, 45]2, 31P[56, 45]0, 32H[57, 45]2, 33P[57, 46]0, 34P[56, 46]0, 35P[56, 47]0, 36P[56, 48]0, 37P[57, 48]0, 38P[58, 48]0, 39P[58, 47]0, 40P[59, 47]0, 41P[59, 48]0, 42H[59, 49]2, 43P[59, 50]0, 44H[59, 51]2, 45H[58, 51]2, 46P[57, 51]0, 47H[57, 50]2, 48P[58, 50]0, 49P[58, 49]0]"
-3,"[0H[50, 50]3, 1P[51, 50]0, 2H[51, 51]2, 3P[50, 51]0, 4H[49, 51]2, 5P[48, 51]0, 6P[47, 51]0, 7H[47, 52]2, 8H[48, 52]2, 9H[48, 53]2, 10H[49, 53]2, 11P[50, 53]0, 12H[51, 53]2, 13H[52, 53]2, 14P[52, 54]0, 15P[51, 54]0, 16P[50, 54]0, 17H[50, 55]2, 18P[50, 56]0, 19H[50, 57]2, 20P[50, 58]0, 21H[50, 59]2, 22H[49, 59]2, 23H[49, 58]2, 24H[49, 57]2, 25H[48, 57]2, 26P[47, 57]0, 27H[46, 57]2, 28H[46, 56]2, 29H[46, 55]2, 30H[46, 54]2, 31P[46, 53]0, 32H[46, 52]2, 33P[45, 52]0, 34P[45, 51]0, 35P[45, 50]0, 36P[44, 50]0, 37P[44, 49]0, 38P[44, 48]0, 39P[43, 48]0, 40P[42, 48]0, 41P[42, 49]0, 42H[42, 50]2, 43P[42, 51]0, 44H[41, 51]2, 45H[41, 50]2, 46P[41, 49]0, 47H[41, 48]2, 48P[41, 47]0, 49P[42, 47]0]"
-7,"[0H[50, 50]3, 1P[51, 50]0, 2H[51, 49]2, 3P[52, 49]0, 4H[52, 48]2, 5P[52, 47]0, 6P[53, 47]0, 7H[53, 48]2, 8H[54, 48]2, 9H[55, 48]2, 10H[55, 47]2, 11P[56, 47]0, 12H[56, 48]2, 13H[57, 48]2, 14P[58, 48]0, 15P[59, 48]0, 16P[60, 48]0, 17H[60, 49]2, 18P[60, 50]0, 19H[60, 51]2, 20P[61, 51]0, 21H[61, 52]2, 22H[61, 53]2, 23H[61, 54]2, 24H[61, 55]2, 25H[60, 55]2, 26P[60, 54]0, 27H[60, 53]2, 28H[60, 52]2, 29H[59, 52]2, 30H[59, 51]2, 31P[59, 50]0, 32H[59, 49]2, 33P[58, 49]0, 34P[58, 50]0, 35P[58, 51]0, 36P[58, 52]0, 37P[58, 53]0, 38P[58, 54]0, 39P[58, 55]0, 40P[57, 55]0, 41P[57, 56]0, 42H[57, 57]2, 43P[57, 58]0, 44H[58, 58]2, 45H[59, 58]2, 46P[59, 57]0, 47H[60, 57]2, 48P[60, 56]0, 49P[61, 56]0]"
-5,"[0H[50, 50]3, 1P[51, 50]0, 2H[52, 50]2, 3P[53, 50]0, 4H[54, 50]2, 5P[55, 50]0, 6P[56, 50]0, 7H[57, 50]2, 8H[58, 50]2, 9H[59, 50]2, 10H[60, 50]2, 11P[61, 50]0, 12H[62, 50]2, 13H[63, 50]2, 14P[64, 50]0, 15P[65, 50]0, 16P[66, 50]0, 17H[67, 50]2, 18P[68, 50]0, 19H[68, 51]2, 20P[67, 51]0, 21H[66, 51]2, 22H[65, 51]2, 23H[64, 51]2, 24H[63, 51]2, 25H[62, 51]2, 26P[61, 51]0, 27H[60, 51]2, 28H[59, 51]2, 29H[58, 51]2, 30H[58, 52]2, 31P[58, 53]0, 32H[58, 54]2, 33P[58, 55]0, 34P[58, 56]0, 35P[58, 57]0, 36P[58, 58]0, 37P[58, 59]0, 38P[57, 59]0, 39P[56, 59]0, 40P[55, 59]0, 41P[54, 59]0, 42H[53, 59]2, 43P[52, 59]0, 44H[51, 59]2, 45H[50, 59]2, 46P[49, 59]0, 47H[48, 59]2, 48P[48, 58]0, 49P[48, 57]0]"
-5,"[0H[50, 50]3, 1P[51, 50]0, 2H[51, 51]2, 3P[52, 51]0, 4H[53, 51]2, 5P[53, 52]0, 6P[53, 53]0, 7H[53, 54]2, 8H[54, 54]2, 9H[55, 54]2, 10H[56, 54]2, 11P[57, 54]0, 12H[57, 53]2, 13H[56, 53]2, 14P[56, 52]0, 15P[56, 51]0, 16P[57, 51]0, 17H[58, 51]2, 18P[59, 51]0, 19H[59, 52]2, 20P[58, 52]0, 21H[58, 53]2, 22H[59, 53]2, 23H[59, 54]2, 24H[59, 55]2, 25H[59, 56]2, 26P[60, 56]0, 27H[61, 56]2, 28H[61, 57]2, 29H[60, 57]2, 30H[60, 58]2, 31P[61, 58]0, 32H[61, 59]2, 33P[60, 59]0, 34P[59, 59]0, 35P[58, 59]0, 36P[58, 58]0, 37P[58, 57]0, 38P[58, 56]0, 39P[58, 55]0, 40P[57, 55]0, 41P[57, 56]0, 42H[56, 56]2, 43P[55, 56]0, 44H[54, 56]2, 45H[53, 56]2, 46P[53, 55]0, 47H[54, 55]2, 48P[55, 55]0, 49P[56, 55]0]"
-2,"[0H[50, 50]3, 1P[51, 50]0, 2H[52, 50]2, 3P[52, 49]0, 4H[53, 49]2, 5P[54, 49]0, 6P[55, 49]0, 7H[55, 50]2, 8H[56, 50]2, 9H[57, 50]2, 10H[57, 51]2, 11P[56, 51]0, 12H[56, 52]2, 13H[56, 53]2, 14P[56, 54]0, 15P[56, 55]0, 16P[56, 56]0, 17H[56, 57]2, 18P[55, 57]0, 19H[54, 57]2, 20P[53, 57]0, 21H[52, 57]2, 22H[51, 57]2, 23H[50, 57]2, 24H[50, 56]2, 25H[50, 55]2, 26P[50, 54]0, 27H[51, 54]2, 28H[51, 53]2, 29H[51, 52]2, 30H[51, 51]2, 31P[52, 51]0, 32H[53, 51]2, 33P[53, 50]0, 34P[54, 50]0, 35P[54, 51]0, 36P[54, 52]0, 37P[54, 53]0, 38P[54, 54]0, 39P[54, 55]0, 40P[55, 55]0, 41P[55, 56]0, 42H[54, 56]2, 43P[53, 56]0, 44H[52, 56]2, 45H[52, 55]2, 46P[53, 55]0, 47H[53, 54]2, 48P[52, 54]0, 49P[52, 53]0]"
-1,"[0H[50, 50]3, 1P[51, 50]0, 2H[51, 51]2, 3P[51, 52]0, 4H[50, 52]2, 5P[49, 52]0, 6P[48, 52]0, 7H[47, 52]2, 8H[46, 52]2, 9H[45, 52]2, 10H[44, 52]2, 11P[43, 52]0, 12H[43, 51]2, 13H[43, 50]2, 14P[44, 50]0, 15P[45, 50]0, 16P[46, 50]0, 17H[46, 49]2, 18P[45, 49]0, 19H[44, 49]2, 20P[43, 49]0, 21H[42, 49]2, 22H[41, 49]2, 23H[40, 49]2, 24H[39, 49]2, 25H[38, 49]2, 26P[37, 49]0, 27H[36, 49]2, 28H[35, 49]2, 29H[34, 49]2, 30H[33, 49]2, 31P[32, 49]0, 32H[32, 50]2, 33P[31, 50]0, 34P[31, 51]0, 35P[31, 52]0, 36P[31, 53]0, 37P[31, 54]0, 38P[32, 54]0, 39P[32, 55]0, 40P[32, 56]0, 41P[32, 57]0, 42H[33, 57]2, 43P[33, 56]0, 44H[33, 55]2, 45H[33, 54]2, 46P[34, 54]0, 47H[34, 55]2, 48P[34, 56]0, 49P[35, 56]0]"
-1,"[0H[50, 50]3, 1P[51, 50]0, 2H[52, 50]2, 3P[53, 50]0, 4H[54, 50]2, 5P[55, 50]0, 6P[55, 51]0, 7H[55, 52]2, 8H[55, 53]2, 9H[55, 54]2, 10H[56, 54]2, 11P[57, 54]0, 12H[58, 54]2, 13H[59, 54]2, 14P[59, 55]0, 15P[58, 55]0, 16P[57, 55]0, 17H[57, 56]2, 18P[58, 56]0, 19H[59, 56]2, 20P[60, 56]0, 21H[61, 56]2, 22H[62, 56]2, 23H[63, 56]2, 24H[64, 56]2, 25H[64, 57]2, 26P[64, 58]0, 27H[64, 59]2, 28H[65, 59]2, 29H[65, 60]2, 30H[64, 60]2, 31P[64, 61]0, 32H[64, 62]2, 33P[64, 63]0, 34P[65, 63]0, 35P[65, 64]0, 36P[65, 65]0, 37P[65, 66]0, 38P[65, 67]0, 39P[64, 67]0, 40P[63, 67]0, 41P[63, 66]0, 42H[64, 66]2, 43P[64, 65]0, 44H[63, 65]2, 45H[62, 65]2, 46P[62, 64]0, 47H[62, 63]2, 48P[63, 63]0, 49P[63, 64]0]"
