-1,"[0H[50, 50]3, 1H[51, 50]2, 2P[51, 49]0, 3P[52, 49]0, 4H[52, 48]2, 5H[53, 48]2, 6P[53, 47]0, 7H[54, 47]2, 8P[54, 48]0, 9H[54, 49]2, 10P[55, 49]0, 11P[55, 48]0, 12P[55, 47]0, 13H[55, 46]2, 14H[56, 46]2, 15H[56, 45]2, 16H[56, 44]2, 17P[56, 43]0, 18H[57, 43]2, 19P[57, 44]0, 20P[58, 44]0, 21P[58, 45]0, 22P[59, 45]0, 23P[59, 44]0, 24H[59, 43]2, 25P[60, 43]0, 26P[60, 42]0, 27P[60, 41]0, 28P[61, 41]0, 29P[62, 41]0, 30H[62, 42]2, 31H[63, 42]2, 32H[63, 41]2, 33H[63, 40]2, 34P[63, 39]0, 35H[64, 39]2, 36H[65, 39]2, 37H[65, 40]2, 38P[64, 40]0, 39H[64, 41]2, 40P[64, 42]0, 41P[65, 42]0, 42H[65, 43]2, 43H[65, 44]2, 44H[66, 44]2, 45P[67, 44]0, 46P[67, 43]0, 47P[68, 43]0, 48H[68, 44]2, 49H[69, 44]3]"
-4,"[0H[50, 50]3, 1H[51, 50]2, 2P[52, 50]0, 3P[53, 50]0, 4H[54, 50]2, 5H[55, 50]2, 6P[55, 51]0, 7H[54, 51]2, 8P[53, 51]0, 9H[52, 51]2, 10P[51, 51]0, 11P[50, 51]0, 12P[49, 51]0, 13H[48, 51]2, 14H[47, 51]2, 15H[46, 51]2, 16H[46, 52]2, 17P[45, 52]0, 18H[44, 52]2, 19P[43, 52]0, 20P[43, 53]0, 21P[43, 54]0, 22P[43, 55]0, 23P[43, 56]0, 24H[43, 57]2, 25P[43, 58]0, 26P[42, 58]0, 27P[42, 57]0, 28P[41, 57]0, 29P[41, 58]0, 30H[41, 59]2, 31H[41, 60]2, 32H[41, 61]2, 33H[41, 62]2, 34P[40, 62]0, 35H[39, 62]2, 36H[38, 62]2, 37H[37, 62]2, 38P[36, 62]0, 39H[36, 61]2, 40P[36, 60]0, 41P[36, 59]0, 42H[36, 58]2, 43H[37, 58]2, 44H[37, 59]2, 45P[38, 59]0, 46P[38, 60]0, 47P[38, 61]0, 48H[37, 61]2, 49H[37, 60]3]"
-4,"[0H[50, 50]3, 1H[51, 50]2, 2P[52, 50]0, 3P[53, 50]0, 4H[53, 51]2, 5H[52, 51]2, 6P[51, 51]0, 7H[50, 51]2, 8P[50, 52]0, 9H[50, 53]2, 10P[50, 54]0, 11P[50, 55]0, 12P[50, 56]0, 13H[50, 57]2, 14H[49, 57]2, 15H[49, 58]2, 16H[50, 58]2, 17P[51, 58]0, 18H[51, 59]2, 19P[50, 59]0, 20P[49, 59]0, 21P[48, 59]0, 22P[47, 59]0, 23P[47, 60]0, 24H[46, 60]2, 25P[45, 60]0, 26P[45, 61]0, 27P[44, 61]0, 28P[44, 60]0, 29P[44, 59]0, 30H[44, 58]2, 31H[45, 58]2, 32H[46, 58]2, 33H[47, 58]2, 34P[48, 58]0, 35H[48, 57]2, 36H[48, 56]2, 37H[49, 56]2, 38P[49, 55]0, 39H[49, 54]2, 40P[49, 53]0, 41P[48, 53]0, 42H[47, 53]2, 43H[46, 53]2, 44H[45, 53]2, 45P[44, 53]0, 46P[44, 54]0, 47P[43, 54]0, 48H[43, 53]2, 49H[42, 53]3]"
-2,"[0H[50, 50]3, 1H[51, 50]2, 2P[52, 50]0, 3P[53, 50]0, 4H[54, 50]2, 5H[55, 50]2, 6P[55, 51]0, 7H[55, 52]2, 8P[56, 52]0, 9H[57, 52]2, 10P[57, 53]0, 11P[58, 53]0, 12P[59, 53]0, 13H[59, 54]2, 14H[60, 54]2, 15H[60, 55]2, 16H[60, 56]2, 17P[61, 56]0, 18H[61, 55]2, 19P[61, 54]0, 20P[61, 53]0, 21P[61, 52]0, 22P[61, 51]0, 23P[62, 51]0, 24H[62, 52]2, 25P[62, 53]0, 26P[62, 54]0, 27P[62, 55]0, 28P[63, 55]0, 29P[63, 54]0, 30H[63, 53]2, 31H[63, 52]2, 32H[63, 51]2, 33H[64, 51]2, 34P[64, 50]0, 35H[65, 50]2, 36H[66, 50]2, 37H[66, 51]2, 38P[66, 52]0, 39H[67, 52]2, 40P[68, 52]0, 41P[68, 51]0, 42H[69, 51]2, 43H[70, 51]2, 44H[70, 52]2, 45P[69, 52]0, 46P[69, 53]0, 47P[70, 53]0, 48H[71, 53]2, 49H[72, 53]3]"
-1,"[0H[50, 50]3, 1H[51, 50]2, 2P[51, 51]0, 3P[51, 52]0, 4H[52, 52]2, 5H[52, 51]2, 6P[52, 50]0, 7H[52, 49]2, 8P[51, 49]0, 9H[51, 48]2, 10P[51, 47]0, 11P[51, 46]0, 12P[51, 45]0, 13H[50, 45]2, 14H[49, 45]2, 15H[49, 44]2, 16H[50, 44]2, 17P[51, 44]0, 18H[51, 43]2, 19P[52, 43]0, 20P[53, 43]0, 21P[53, 42]0, 22P[52, 42]0, 23P[52, 41]0, 24H[53, 41]2, 25P[53, 40]0, 26P[53, 39]0, 27P[53, 38]0, 28P[54, 38]0, 29P[54, 37]0, 30H[54, 36]2, 31H[55, 36]2, 32H[55, 37]2, 33H[56, 37]2, 34P[57, 37]0, 35H[58, 37]2, 36H[59, 37]2, 37H[59, 38]2, 38P[58, 38]0, 39H[58, 39]2, 40P[57, 39]0, 41P[56, 39]0, 42H[55, 39]2, 43H[54, 39]2, 44H[54, 40]2, 45P[55, 40]0, 46P[56, 40]0, 47P[56, 41]0, 48H[55, 41]2, 49H[55, 42]3]"
-6,"[0H[50, 50]3, 1H[51, 50]2, 2P[52, 50]0, 3P[52, 51]0, 4H[51, 51]2, 5H[50, 51]2, 6P[49, 51]0, 7H[48, 51]2, 8P[47, 51]0, 9H[47, 50]2, 10P[47, 49]0, 11P[47, 48]0, 12P[47, 47]0, 13H[48, 47]2, 14H[49, 47]2, 15H[50, 47]2, 16H[51, 47]2, 17P[52, 47]0, 18H[53, 47]2, 19P[53, 48]0, 20P[53, 49]0, 21P[53, 50]0, 22P[53, 51]0, 23P[54, 51]0, 24H[55, 51]2, 25P[56, 51]0, 26P[57, 51]0, 27P[58, 51]0, 28P[59, 51]0, 29P[60, 51]0, 30H[60, 52]2, 31H[60, 53]2, 32H[60, 54]2, 33H[60, 55]2, 34P[59, 55]0, 35H[59, 54]2, 36H[59, 53]2, 37H[58, 53]2, 38P[58, 52]0, 39H[57, 52]2, 40P[57, 53]0, 41P[57, 54]0, 42H[58, 54]2, 43H[58, 55]2, 44H[58, 56]2, 45P[59, 56]0, 46P[59, 57]0, 47P[58, 57]0, 48H[58, 58]2, 49H[58, 59]3]"
0,"[0H[50, 50]3, 1H[51, 50]2, 2P[52, 50]0, 3P[53, 50]0, 4H[54, 50]2, 5H[55, 50]2, 6P[56, 50]0, 7H[57, 50]2, 8P[58, 50]0, 9H[59, 50]2, 10P[60, 50]0, 11P[61, 50]0, 12P[62, 50]0, 13H[63, 50]2, 14H[64, 50]2, 15H[65, 50]2, 16H[66, 50]2, 17P[67, 50]0, 18H[68, 50]2, 19P[69, 50]0, 20P[70, 50]0, 21P[71, 50]0, 22P[72, 50]0, 23P[73, 50]0, 24H[74, 50]2, 25P[75, 50]0, 26P[76, 50]0, 27P[77, 50]0, 28P[78, 50]0, 29P[79, 50]0, 30H[80, 50]2, 31H[81, 50]2, 32H[82, 50]2, 33H[83, 50]2, 34P[84, 50]0, 35H[85, 50]2, 36H[85, 51]2, 37H[85, 52]2, 38P[85, 53]0, 39H[85, 54]2, 40P[85, 55]0, 41P[85, 56]0, 42H[85, 57]2, 43H[85, 58]2, 44H[85, 59]2, 45P[85, 60]0, 46P[85, 61]0, 47P[85, 62]0, 48H[85, 63]2, 49H[85, 64]3]"
-3,"[0H[50, 50]3, 1H[51, 50]2, 2P[51, 51]0, 3P[51, 52]0, 4H[50, 52]2, 5H[50, 53]2, 6P[51, 53]0, 7H[51, 54]2, 8P[52, 54]0, 9H[52, 53]2, 10P[53, 53]0, 11P[53, 52]0, 12P[53, 51]0, 13H[52, 51]2, 14H[52, 50]2, 15H[52, 49]2, 16H[52, 48]2, 17P[52, 47]0, 18H[52, 46]2, 19P[53, 46]0, 20P[53, 47]0, 21P[54, 47]0, 22P[54, 46]0, 23P[54, 45]0, 24H[54, 44]2, 25P[54, 43]0, 26P[54, 42]0, 27P[55, 42]0, 28P[55, 41]0, 29P[54, 41]0, 30H[54, 40]2, 31H[53, 40]2, 32H[52, 40]2, 33H[52, 41]2, 34P[52, 42]0, 35H[51, 42]2, 36H[51, 41]2, 37H[50, 41]2, 38P[49, 41]0, 39H[48, 41]2, 40P[48, 40]0, 41P[48, 39]0, 42H[49, 39]2, 43H[50, 39]2, 44H[50, 40]2, 45P[51, 40]0, 46P[51, 39]0, 47P[51, 38]0, 48H[51, 37]2, 49H[50, 37]3]"
-3,"[0H[50, 50]3, 1H[51, 50]2, 2P[52, 50]0, 3P[53, 50]0, 4H[53, 51]2, 5H[53, 52]2, 6P[53, 53]0, 7H[53, 54]2, 8P[52, 54]0, 9H[52, 53]2, 10P[52, 52]0, 11P[52, 51]0, 12P[51, 51]0, 13H[50, 51]2, 14H[49, 51]2, 15H[49, 50]2, 16H[49, 49]2, 17P[49, 48]0, 18H[49, 47]2, 19P[50, 47]0, 20P[50, 48]0, 21P[50, 49]0, 22P[51, 49]0, 23P[52, 49]0, 24H[53, 49]2, 25P[53, 48]0, 26P[54, 48]0, 27P[55, 48]0, 28P[56, 48]0, 29P[56, 47]0, 30H[55, 47]2, 31H[54, 47]2, 32H[53, 47]2, 33H[52, 47]2, 34P[52, 46]0, 35H[52, 45]2, 36H[52, 44]2, 37H[52, 43]2, 38P[52, 42]0, 39H[52, 41]2, 40P[52, 40]0, 41P[52, 39]0, 42H[53, 39]2, 43H[54, 39]2, 44H[54, 40]2, 45P[54, 41]0, 46P[54, 42]0, 47P[54, 43]0, 48H[54, 44]2, 49H[53, 44]3]"
-3,"[0H[50, 50]3, 1H[51, 50]2, 2P[52, 50]0, 3P[53, 50]0, 4H[54, 50]2, 5H[55, 50]2, 6P[55, 49]0, 7H[56, 49]2, 8P[57, 49]0, 9H[57, 50]2, 10P[58, 50]0, 11P[58, 49]0, 12P[58, 48]0, 13H[59, 48]2, 14H[59, 47]2, 15H[60, 47]2, 16H[61, 47]2, 17P[61, 46]0, 18H[62, 46]2, 19P[62, 45]0, 20P[61, 45]0, 21P[60, 45]0, 22P[59, 45]0, 23P[59, 44]0, 24H[58, 44]2, 25P[58, 45]0, 26P[58, 46]0, 27P[58, 47]0, 28P[57, 47]0, 29P[57, 46]0, 30H[57, 45]2, 31H[56, 45]2, 32H[56, 46]2, 33H[55, 46]2, 34P[55, 45]0, 35H[54, 45]2, 36H[54, 46]2, 37H[54, 47]2, 38P[54, 48]0, 39H[54, 49]2, 40P[53, 49]0, 41P[53, 48]0, 42H[52, 48]2, 43H[52, 49]2, 44H[51, 49]2, 45P[50, 49]0, 46P[49, 49]0, 47P[49, 48]0, 48H[50, 48]2, 49H[50, 47]3]"
