PHHPHHPPHHHHPH,0,-6,18467
PHHPHHPPHHHHPH,1,-6,1652
PHHPHHPPHHHHPH,2,-6,2972
PHHPHHPPHHHHPH,3,-6,3949
PHHPHHPPHHHHPH,4,-6,3302
PHHPHHPPHHHHPH,5,-6,10404
PHHPHHPPHHHHPH,6,-6,926
PHHPHHPPHHHHPH,7,-6,3092
PHHPHHPPHHHHPH,8,-6,21393
PHHPHHPPHHHHPH,9,-6,2935
PHHPHHPPHHHHPH,10,-6,11455
PHHPHHPPHHHHPH,11,-6,21058
PHHPHHPPHHHHPH,12,-6,3441
PHHPHHPPHHHHPH,13,-6,10426
PHHPHHPPHHHHPH,14,-5,2049
PHHPHHPPHHHHPH,15,-6,2882
PHHPHHPPHHHHPH,16,-6,6943
PHHPHHPPHHHHPH,17,-6,2061
PHHPHHPPHHHHPH,18,-6,11531
PHHPHHPPHHHHPH,19,-6,2073
HHHPHPHHPHHPHP,0,-5,983
HHHPHPHHPHHPHP,1,-5,183
HHHPHPHHPHHPHP,2,-5,622
HHHPHPHHPHHPHP,3,-5,54
HHHPHPHHPHHPHP,4,-5,31
HHHPHPHHPHHPHP,5,-5,55
HHHPHPHHPHHPHP,6,-5,82
HHHPHPHHPHHPHP,7,-5,466
HHHPHPHHPHHPHP,8,-5,751
HHHPHPHHPHHPHP,9,-5,62
HHHPHPHHPHHPHP,10,-5,210
HHHPHPHHPHHPHP,11,-5,9
HHHPHPHHPHHPHP,12,-5,62
HHHPHPHHPHHPHP,13,-5,274
HHHPHPHHPHHPHP,14,-5,954
HHHPHPHHPHHPHP,15,-5,341
HHHPHPHHPHHPHP,16,-5,60
HHHPHPHHPHHPHP,17,-5,30
HHHPHPHHPHHPHP,18,-5,551
HHHPHPHHPHHPHP,19,-5,1174
HHPHPHHHHHPPPH,0,-5,290
HHPHPHHHHHPPPH,1,-5,177
HHPHPHHHHHPPPH,2,-5,26
HHPHPHHHHHPPPH,3,-5,250
HHPHPHHHHHPPPH,4,-5,10
HHPHPHHHHHPPPH,5,-5,0
HHPHPHHHHHPPPH,6,-5,83
HHPHPHHHHHPPPH,7,-5,272
HHPHPHHHHHPPPH,8,-5,19
HHPHPHHHHHPPPH,9,-5,11
HHPHPHHHHHPPPH,10,-5,266
HHPHPHHHHHPPPH,11,-5,40
HHPHPHHHHHPPPH,12,-5,158
HHPHPHHHHHPPPH,13,-5,173
HHPHPHHHHHPPPH,14,-5,11
HHPHPHHHHHPPPH,15,-5,24
HHPHPHHHHHPPPH,16,-5,57
HHPHPHHHHHPPPH,17,-5,105
HHPHPHHHHHPPPH,18,-5,943
HHPHPHHHHHPPPH,19,-5,79
HPHPHPHPHPHHHH,0,-5,1136
HPHPHPHPHPHHHH,1,-5,924
HPHPHPHPHPHHHH,2,-5,1040
HPHPHPHPHPHHHH,3,-5,1900
HPHPHPHPHPHHHH,4,-5,512
HPHPHPHPHPHHHH,5,-5,7
HPHPHPHPHPHHHH,6,-5,83
HPHPHPHPHPHHHH,7,-5,2971
HPHPHPHPHPHHHH,8,-5,920
HPHPHPHPHPHHHH,9,-5,10
HPHPHPHPHPHHHH,10,-5,2073
HPHPHPHPHPHHHH,11,-5,1321
HPHPHPHPHPHHHH,12,-5,1129
HPHPHPHPHPHHHH,13,-5,288
HPHPHPHPHPHHHH,14,-5,209
HPHPHPHPHPHHHH,15,-5,3404
HPHPHPHPHPHHHH,16,-5,32
HPHPHPHPHPHHHH,17,-5,1049
HPHPHPHPHPHHHH,18,-5,3163
HPHPHPHPHPHHHH,19,-5,1118
HHHPPHHHPPHPHH,0,-6,2011
HHHPPHHHPPHPHH,1,-6,2196
HHHPPHHHPPHPHH,2,-6,11
HHHPPHHHPPHPHH,3,-6,185
HHHPPHHHPPHPHH,4,-6,3964
HHHPPHHHPPHPHH,5,-6,1991
HHHPPHHHPPHPHH,6,-6,1297
HHHPPHHHPPHPHH,7,-6,1551
HHHPPHHHPPHPHH,8,-6,176
HHHPPHHHPPHPHH,9,-6,1136
HHHPPHHHPPHPHH,10,-6,1127
HHHPPHHHPPHPHH,11,-6,2619
HHHPPHHHPPHPHH,12,-6,5385
HHHPPHHHPPHPHH,13,-6,2018
