HHHHHHHPPHPHPP,0,-5,139
HHHHHHPHPHPPPH,0,-5,238
HHHHHHPPPHPHPH,0,-5,1217
HHHHHPHHHPPHPP,0,-5,1267
HHHHHPHHPPHPPH,0,-6,3010
HHHHHPHPPHHHPP,0,-5,133
HHHHHPPHPPHHPH,0,-6,17407
HHHHHPPPHHHHPP,1,-5,29271
HHHHPHHHPPHPPH,0,-6,1909
HHHHPHHPHHPPPH,0,-5,368
HHHHPHHPHPPHHP,0,-6,1512
HHHHPHHPHPPHPH,0,-6,6025
HHHHPHHPPHHPPH,0,-6,196
HHHHPHHPPPHHPH,0,-5,166
HHHHPHPPPHHPHH,0,-6,969
HHHHPPHHPHHPPH,0,-6,1024
HHHHPPHHPPHPHH,0,-6,38
HHHPHHHPHHHPPP,0,-4,46
HHHPHHHPHHPHPP,0,-5,420
HHHPHHHPPHHPHP,0,-5,262
HHHPHHPHHPPHPH,0,-6,209
HHHPHHPPPHPHHH,0,-6,2865
HHHPHPHHPHHPHP,0,-5,983
HHHPHPHPPHPHHH,0,-7,12559
HHHPPHHHPHPHHP,0,-6,2946
HHHPPHHHPPHPHH,0,-6,2011
HHHPPPHHHPHHPH,0,-6,16217
HHHPPPHPHHHHHP,0,-4,45
HHPHHHHPHPPPHH,0,-6,544
HHPHHHHPPHHPPH,0,-6,122
HHPHHHPHHPHPPH,0,-6,103
HHPHHHPHPHHPHP,0,-6,93
HHPHHHPHPHPHHP,0,-6,172
HHPHHHPPHHPHHP,0,-6,18
HHPHHHPPHHPHPH,0,-6,169
HHPHHPHHHPPPHH,1,-6,37129
HHPHHPHPHHHPPH,0,-6,1084
HHPHPHHHHHPPPH,0,-5,290
HHPHPHHPHPHPHH,0,-6,4389
HHPHPHHPPHPHHH,0,-6,1231
HHPHPHPHHHPHPH,0,-5,31
HHPHPPHHHHHPHP,0,-6,1954
HHPHPPHPHHPHHH,0,-6,1310
HHPPHHPPPHHHHH,0,-6,13649
HPHHHHHPPHHHPP,0,-5,1998
HPHHHHHPPHPPHH,0,-6,1152
HPHHHHHPPPHPHH,0,-5,158
HPHHHPHPHHPHPH,0,-6,414
HPHHPHHHHHPHPP,0,-5,24
HPHHPHHHHPPPHH,0,-6,2095
HPHHPPHHHHPHHP,0,-6,12354
HPHHPPPHHHHHPH,0,-6,79
HPHPHHHHHPHPPH,0,-6,536
HPHPHHHHPHHPPH,0,-7,13483
HPHPHHPHPPHHHH,2,-7,62536
HPHPHPHHHHPHPH,1,-7,24195
HPHPHPHHPHHPHH,0,-6,2214
HPHPHPHPHPHHHH,0,-5,1136
HPHPPPHPHHHHHH,0,-5,999
HPPHHHHHHHHPPP,0,-5,169
HPPHHHHPHHPHHP,0,-6,44
HPPHHHPHHHPHHP,0,-6,75
HPPHHHPHHPHHPH,0,-6,1903
HPPHHPHHHPHHPH,0,-6,77
HPPHPHPPHHHHHH,0,-6,1249
PHHHHHHHPPHPPH,0,-5,295
PHHHHHHPPHPPHH,0,-6,979
PHHHHHPHHPHHPP,0,-5,1072
PHHHHHPPPHHPHH,0,-5,165
PHHHHPHPHPHHHP,0,-5,2084
PHHHHPHPHPPHHH,0,-6,1277
PHHHHPPHPHHHHP,0,-5,246
PHHHHPPHPPHHHH,0,-6,16272
PHHHPHHHHPHPHP,0,-6,8225
PHHHPHPPHHHHPH,0,-5,433
PHHHPPHHHPHHHP,0,-5,81
PHHHPPPHHHHHPH,0,-4,33
PHHPHHHHHHHPPP,0,-4,202
PHHPHHHHHPPHPH,0,-6,1116
PHHPHHPPHHHHPH,0,-6,18467
PHHPHPHPHHPHHH,0,-6,14945
PHHPPHHHHHHPPH,0,-6,12304
PHHPPPHHHHHPHH,0,-5,128
PHHPPPHHPHHHHH,0,-5,2196
PHHPPPHPHHHHHH,0,-5,237
PHPHHHHPPHHHPH,0,-5,53
PHPHHHHPPHHPHH,0,-6,2936
PHPHHPHHPHHHHP,0,-5,39
PHPHPHHHHPHHPH,0,-5,89
PHPPHHHHHHPPHH,0,-6,138
PHPPHHHHHPPHHH,0,-6,79
PHPPHHPHHHHHHP,0,-5,327
PPHHHHHPHHHPPH,0,-5,264
PPHHHHHPHPHHPH,0,-6,65
PPHHPHPHHHHHPH,0,-5,2086
PPHPHHHHHHHPHP,0,-4,73
PPHPHPHHHHHHHP,0,-4,201
PPHPHPHHHHPHHH,0,-6,1096
PPPHHHHHHHHHPP,0,-4,165
PPPHPHPHHHHHHH,0,-4,15
