start,1498271891.778193
Start Anneal,0.002810955047607422,1
Score Iteration,-1,9,0.951110130465772
Score Iteration,-5,14,0.927568968818328
Score Iteration,-6,15,0.9229311239742363
Score Iteration,-7,16,0.9183164683543651
Score Iteration,-8,43,0.802076057971764
Score Iteration,-9,48,0.7822236754458716
Score Iteration,-10,60,0.7365596529082212
Score Iteration,-12,119,0.5479862854900422
Score Iteration,-14,120,0.545246354062592
Score Iteration,-15,280,0.2445038429959362
Score Iteration,-16,526,0.07124650305213755
Result SA test130,0.002810955047607422,5.852865934371948,919,-16
Start Anneal,5.852870941162109,1.1
Score Iteration,-17,1501,0.059190057234242754
Score Iteration,-18,1537,0.049417374358073626
Result SA test130,5.852870941162109,15.55453109741211,1857,-18
Start Anneal,15.554534912109375,1.2100000000000002
Result SA test130,15.554534912109375,25.580377101898193,2814,-18
Start Anneal,25.580379962921143,1.3310000000000004
Result SA test130,25.580379962921143,37.81729006767273,3790,-18
Start Anneal,37.817294120788574,1.4641000000000006
Result SA test130,37.817294120788574,44.79555702209473,4785,-18
Start Anneal,44.795560121536255,1.6105100000000008
Result SA test130,44.795560121536255,54.3154559135437,5799,-18
Start Anneal,54.315459966659546,1.771561000000001
Score Iteration,-19,6274,0.16298308946332005
Result SA test130,54.315459966659546,58.111305952072144,6832,-19
Start Anneal,58.111308097839355,1.9487171000000014
Score Iteration,-20,7126,0.44417858483757294
Score Iteration,-21,7248,0.24097582016569163
Result SA test130,58.111308097839355,64.6893138885498,7884,-21
Start Anneal,64.68931698799133,2.1435888100000016
Result SA test130,64.68931698799133,72.24025106430054,8955,-21
Start Anneal,72.24025392532349,2.357947691000002
Score Iteration,-22,10019,0.011327006784057512
Result SA test130,72.24025392532349,82.423574924469,10045,-22
Start Anneal,82.42357802391052,2.5937424601000023
Result SA test130,82.42357802391052,88.98423790931702,11154,-22
Start Anneal,88.98424196243286,2.853116706110003
Result SA test130,88.98424196243286,96.40473890304565,12282,-22
Start Anneal,96.40474200248718,3.1384283767210035
Result SA test130,96.40474200248718,108.77910494804382,13429,-22
Start Anneal,108.77910804748535,3.4522712143931042
Result SA test130,108.77910804748535,118.48519492149353,14595,-22
Start Anneal,118.48519802093506,3.797498335832415
Result SA test130,118.48519802093506,126.11046004295349,15780,-22
