protein,theo_score,high_score,min_bond,min_count,odd_even_bond,odd_even_count,even1,even2,even3,even4,odd1,odd2,odd3,odd4
HHPPHHPPPHPPHH,7,5,7,3,1.2857142857142858,1.3333333333333333,1,1,0,1,1,1,0,2
HHPHPHHHPPPHPP,5,4,5,2,2.0,2.5,1,0,1,0,1,2,1,1
HPHHPHHPHHPPPP,6,4,6,3,0.6666666666666666,0.75,2,0,2,0,0,2,0,1
PPHPHHHPPHPHPH,6,5,6,3,1.5,1.3333333333333333,1,1,1,0,0,1,0,3
HPPPPHPHPHHPHH,7,5,7,3,1.2857142857142858,1.3333333333333333,1,0,0,2,0,1,1,2
HHPPPHPHHHPPPH,5,4,5,2,2.2,2.5,1,0,1,0,1,1,1,2
PHHPHPHHHPPHPP,6,5,6,3,0.75,0.75,1,1,2,0,1,0,1,1
PHPHHPPHHHPHPP,4,4,4,2,2.5,2.5,0,1,1,0,1,1,1,2
HPPHHPHHPPHPPH,7,6,7,3,0.7777777777777778,0.75,1,1,1,1,0,1,1,1
PHPPPPPHHHHHPH,4,3,4,2,2.75,2.5,0,0,1,1,1,0,1,3
HHPPPPHHPHHHPP,7,4,7,3,1.1428571428571428,1.3333333333333333,1,0,1,1,1,0,1,2
HPPHPHHHPPPPHH,7,5,7,3,1.2857142857142858,1.3333333333333333,1,0,1,1,0,2,1,1
PPPHPHPHHPPHHH,4,4,4,2,2.75,2.5,0,0,1,1,0,2,1,2
PPHPPHHPPPHHHH,7,4,7,3,0.875,0.75,1,0,1,2,0,1,0,2
HHHPPPPHPPHPHH,7,5,7,3,0.7777777777777778,0.75,2,0,0,2,1,0,1,1
PPPPHPHHHPHHPH,7,4,7,3,0.875,0.75,0,1,2,1,0,0,1,2
HPHPHPPHPPHPHH,5,5,5,2,0.45454545454545453,0.4,2,1,0,2,0,0,1,1
PHPHHPPHPPHHPH,4,4,4,2,2.75,2.5,0,1,0,1,1,1,1,2
HPPHPPHHHHPPHP,6,5,6,3,0.6666666666666666,0.75,1,0,2,1,0,1,1,1
PPHHPHPHHHHPPP,6,4,6,3,1.3333333333333333,1.3333333333333333,1,0,1,1,0,2,1,1
HPPHHPHPPHPPHH,7,5,7,3,0.7777777777777778,0.75,1,1,1,1,0,1,0,2
HHPPPHHHPPHHPP,7,4,7,3,1.1428571428571428,1.3333333333333333,1,0,1,1,1,1,1,1
HPHHHPPPPPHHHP,4,3,4,2,0.36363636363636365,0.4,2,1,0,2,0,1,0,1
HPHPPPHHHPHPPH,5,5,5,2,0.45454545454545453,0.4,2,0,2,1,0,0,1,1
HPPHPHHHHPHPPP,6,4,6,3,0.6666666666666666,0.75,1,0,2,1,0,2,1,0
HHHPPHHPHPPPPH,7,5,7,3,0.7777777777777778,0.75,2,0,2,0,1,1,0,1
HPPPPHPPHHHPHH,7,5,7,3,0.7777777777777778,0.75,1,0,1,2,0,1,0,2
PHPHHHPHPHPPPH,2,2,2,1,6.5,6.0,0,1,0,0,1,2,1,2
HHPPPHPPHHPHHP,7,5,7,3,1.1428571428571428,1.3333333333333333,1,0,1,1,1,1,0,2
HHPHHPPPPHHPPH,7,5,7,3,1.2857142857142858,1.3333333333333333,1,1,0,1,1,1,0,2
PHHPHHPPHHPPHP,6,5,6,3,0.75,0.75,1,1,1,1,1,1,0,1
PHHHHHHPPPHPPP,6,3,6,3,0.75,0.75,1,1,1,1,1,2,0,0
HPHPHPHPPHPHHP,4,4,4,2,0.36363636363636365,0.4,2,1,1,1,0,0,0,2
PPHPHHHPPPHPHH,5,4,5,2,0.5,0.4,1,1,1,2,0,1,0,1
HPHPHHHPHPHPPP,2,2,2,1,0.15384615384615385,0.16666666666666666,2,1,2,1,0,1,0,0
HHPPHHPPPPHHPH,7,5,7,3,1.2857142857142858,1.3333333333333333,1,1,0,1,1,1,0,2
HPPHHPHPHHPHPP,6,5,6,3,0.6666666666666666,0.75,1,1,2,0,0,1,0,2
HPPPPHHHHHPPHP,6,4,6,3,0.6666666666666666,0.75,1,0,2,1,0,1,1,1
HPHHPHPPHPPHHP,6,5,6,3,0.6666666666666666,0.75,2,0,1,1,0,2,0,1
