start,1498299484.23358
Start Anneal,0.002794981002807617,1
Score Iteration,-1,7,0.960693043575437
Score Iteration,-5,10,0.9463545798134431
Score Iteration,-7,11,0.9416228069143758
Score Iteration,-8,17,0.9137248860125933
Score Iteration,-9,65,0.7183288830986239
Score Iteration,-10,101,0.5997278763867331
Score Iteration,-13,531,0.069483063265891
Result SA test130,0.002794981002807617,18.281587839126587,919,-13
Start Anneal,18.281592845916748,1.1
Score Iteration,-14,1342,0.13133452912534418
Result SA test130,18.281592845916748,30.413323879241943,1857,-14
Start Anneal,30.41332697868347,1.2100000000000002
Score Iteration,-15,2063,0.428709477595667
Result SA test130,30.41332697868347,38.308483839035034,2814,-15
Start Anneal,38.30848693847656,1.3310000000000004
Score Iteration,-16,2902,0.8519855751404543
Result SA test130,38.30848693847656,47.4571578502655,3790,-16
Start Anneal,47.45716190338135,1.4641000000000006
Result SA test130,47.45716190338135,60.262409925460815,4785,-16
Start Anneal,60.262412786483765,1.6105100000000008
Score Iteration,-17,4838,1.2285979492257173
Result SA test130,60.262412786483765,72.34100794792175,5799,-17
Start Anneal,72.3410108089447,1.771561000000001
Result SA test130,72.3410108089447,84.86790800094604,6832,-17
Start Anneal,84.867910861969,1.9487171000000014
Score Iteration,-18,6916,1.27265491618139
Result SA test130,84.867910861969,98.45113587379456,7884,-18
Start Anneal,98.45113897323608,2.1435888100000016
Score Iteration,-19,8721,0.03212795968636881
Score Iteration,-20,8819,0.019658259299278447
Result SA test130,98.45113897323608,105.0910120010376,8955,-20
Start Anneal,105.09101486206055,2.357947691000002
Result SA test130,105.09101486206055,114.04292678833008,10045,-20
Start Anneal,114.04292893409729,2.5937424601000023
Result SA test130,114.04292893409729,120.6821129322052,11154,-20
Start Anneal,120.68211483955383,2.853116706110003
Result SA test130,120.68211483955383,125.73848390579224,12282,-20
Start Anneal,125.73848700523376,3.1384283767210035
Result SA test130,125.73848700523376,129.51145696640015,13429,-20
Start Anneal,129.5114598274231,3.4522712143931042
Result SA test130,129.5114598274231,137.24481987953186,14595,-20
Start Anneal,137.2448229789734,3.797498335832415
Result SA test130,137.2448229789734,147.20495676994324,15780,-20
