start,18.736524771398937
Start Anneal,0.004494564152441427,1
Score Iteration,-1,1,0.990025
Score Iteration,-2,9,0.951110130465772
Score Iteration,-3,38,0.8224322824348488
Score Iteration,-4,311,0.20931540516921582
Result SA test131,0.004494564152441427,6.5756561027481375,919,-4
