protein,percentage,iterations
PHHPHHPPHHHHPH,30,1470
HHHPHPHHPHHPHP,70,573
HHPHPHHHHHPPPH,70,409
HPHPHPHPHPHHHH,70,877
HHHPPHHHPPHPHH,65,1503
HHHPHHPHHPPHPH,70,1175
PHHHHHPHHPHHPP,60,1515
PHHHPHPPHHHHPH,70,723
PHHHHHHPPHPPHH,10,1932
HHHHHHPHPHPPPH,70,406
PPHHHHHPHPHHPH,25,1931
PHPHHHHPPHHPHH,55,1538
HPHPHHHHPHHPPH,30,2685
PPHPHPHHHHPHHH,50,1297
HHPHPPHPHHPHHH,60,673
HHPHPHHPPHPHHH,50,1075
HHHPHPHPPHPHHH,30,1474
HHHHPHHHPPHPPH,70,1158
HHPHHHPHPHPHHP,50,1452
PHHPPPHHPHHHHH,55,1393
HHHHPPHHPHHPPH,65,757
HHHHHHPPPHPHPH,70,703
PHPPHHHHHPPHHH,25,722
HHPHHHPPHHPHPH,60,1592
HHHPHHHPPHHPHP,70,334
PHPPHHPHHHHHHP,70,309
PHPPHHHHHHPPHH,50,1460
PHPHPHHHHPHHPH,70,715
HHPHHPHPHHHPPH,65,1281
PHHPHHHHHHHPPP,70,112
HPHPHPHHPHHPHH,5,1054
PHHHPHHHHPHPHP,35,1856
HPPHHHHHHHHPPP,60,1066
HHPHHHHPPHHPPH,70,815
HHPHHPHHHPPPHH,25,2425
HHHPPPHPHHHHHP,70,211
HPHHHHHPPPHPHH,70,289
PHPHHHHPPHHHPH,70,288
PHHPHPHPHHPHHH,15,1683
HHPHPHPHHHPHPH,70,176
HHHHPHHPHPPHHP,45,234
PHPHHPHHPHHHHP,70,736
HHHPHHHPHHHPPP,70,63
HPHHHPHPHHPHPH,70,1265
HHHHHHHPPHPHPP,70,535
HHHHPHHPPHHPPH,70,831
HPHHPPPHHHHHPH,25,1238
HHPPHHPPPHHHHH,15,2026
HPHHHHHPPHPPHH,65,881
HHHPPPHHHPHHPH,10,2439
HPHPPPHPHHHHHH,65,1200
PPHPHPHHHHHHHP,70,268
HHHHHPPPHHHHPP,10,940
HPPHHHHPHHPHHP,60,1142
HHPHHHPHPHHPHP,70,310
HHHHPHHPHPPHPH,65,1632
HHPHPHHPHPHPHH,45,1580
PPHHHHHPHHHPPH,70,594
PPPHHHHHHHHHPP,70,481
HPHHHHHPPHHHPP,70,325
PHHHPPPHHHHHPH,70,89
HHHHPHPPPHHPHH,65,1159
HHPHHHPHHPHPPH,70,402
HPPHHPHHHPHHPH,70,333
PHHHHPPHPHHHHP,70,738
HHHHPHHPPPHHPH,70,451
PPPHPHPHHHHHHH,70,155
HPHPHHPHPPHHHH,0,0
HHHHPHHPHHPPPH,5,1565
PHHHHPHPHPPHHH,55,1756
HHHHHPHPPHHHPP,70,629
HHPHHHPPHHPHHP,70,1573
HHHHHPPHPPHHPH,55,2123
HPHPHPHHHHPHPH,30,1923
HHPHPPHHHHHPHP,60,1436
PHHPPPHPHHHHHH,70,937
HPHHPHHHHPPPHH,35,2302
HPHHPHHHHHPHPP,70,101
HHHPHHHPHHPHPP,70,277
PHHHHHPPPHHPHH,65,860
PPHHPHPHHHHHPH,70,1405
HPPHHHPHHHPHHP,70,1065
HHHPHHPPPHPHHH,45,1770
PHHHHPPHPPHHHH,40,2453
HHHHHPHHHPPHPP,70,369
PHHPHHHHHPPHPH,55,2076
PPHPHHHHHHHPHP,70,58
HPHHPPHHHHPHHP,20,2045
PHHHPPHHHPHHHP,70,667
PHHPPHHHHHHPPH,25,2424
PHHHHHHHPPHPPH,70,585
HPHPHHHHHPHPPH,70,1058
HHHHHPHHPPHPPH,65,2106
HHHPPHHHPHPHHP,65,1370
HHPHHHHPHPPPHH,45,2136
PHHPPPHHHHHPHH,70,315
HHHHPPHHPPHPHH,65,626
PHHHHPHPHPHHHP,65,1855
HPPHHHPHHPHHPH,70,553
HPPHPHPPHHHHHH,60,912
