PHHPHHPPHHHHPH;0;-6;68
PHHPHHPPHHHHPH;1;-5;120
PHHPHHPPHHHHPH;2;-5;1097
PHHPHHPPHHHHPH;3;-6;52
PHHPHHPPHHHHPH;4;-5;79
PHHPHHPPHHHHPH;5;-6;3871
PHHPHHPPHHHHPH;6;-5;468
PHHPHHPPHHHHPH;7;-6;4389
PHHPHHPPHHHHPH;8;-5;107
PHHPHHPPHHHHPH;9;-6;140
PHHPHHPPHHHHPH;10;-5;587
PHHPHHPPHHHHPH;11;-5;112
PHHPHHPPHHHHPH;12;-6;301
PHHPHHPPHHHHPH;13;-5;952
HHHPHPHHPHHPHP;0;-5;108
HHHPHPHHPHHPHP;1;-5;343
HHHPHPHHPHHPHP;2;-5;60
HHHPHPHHPHHPHP;3;-5;74
HHHPHPHHPHHPHP;4;-5;1914
HHHPHPHHPHHPHP;5;-5;189
HHHPHPHHPHHPHP;6;-5;1564
HHHPHPHHPHHPHP;7;-5;302
HHHPHPHHPHHPHP;8;-5;1248
HHHPHPHHPHHPHP;9;-5;1241
HHHPHPHHPHHPHP;10;-5;154
HHHPHPHHPHHPHP;11;-5;427
HHHPHPHHPHHPHP;12;-5;362
HHHPHPHHPHHPHP;13;-5;41
HHPHPHHHHHPPPH;0;-5;1892
HHPHPHHHHHPPPH;1;-5;847
HHPHPHHHHHPPPH;2;-5;189
HHPHPHHHHHPPPH;3;-5;206
HHPHPHHHHHPPPH;4;-5;25
HHPHPHHHHHPPPH;5;-5;89
HHPHPHHHHHPPPH;6;-5;15
HHPHPHHHHHPPPH;7;-5;146
HHPHPHHHHHPPPH;8;-5;1120
HHPHPHHHHHPPPH;9;-5;85
HHPHPHHHHHPPPH;10;-5;27
HHPHPHHHHHPPPH;11;-5;23
HHPHPHHHHHPPPH;12;-5;1045
HHPHPHHHHHPPPH;13;-5;26
HPHPHPHPHPHHHH;0;-5;629
HPHPHPHPHPHHHH;1;-5;256
HPHPHPHPHPHHHH;2;-5;2349
HPHPHPHPHPHHHH;3;-5;7
HPHPHPHPHPHHHH;4;-5;1095
HPHPHPHPHPHHHH;5;-5;2884
HPHPHPHPHPHHHH;6;-5;196
HPHPHPHPHPHHHH;7;-5;219
HPHPHPHPHPHHHH;8;-5;6
HPHPHPHPHPHHHH;9;-5;84
HPHPHPHPHPHHHH;10;-5;321
HPHPHPHPHPHHHH;11;-5;1181
HPHPHPHPHPHHHH;12;-5;135
HPHPHPHPHPHHHH;13;-5;2924
HHHPPHHHPPHPHH;0;-6;269
HHHPPHHHPPHPHH;1;-6;174
HHHPPHHHPPHPHH;2;-6;558
HHHPPHHHPPHPHH;3;-6;97
HHHPPHHHPPHPHH;4;-6;4201
HHHPPHHHPPHPHH;5;-6;2082
HHHPPHHHPPHPHH;6;-6;196
HHHPPHHHPPHPHH;7;-6;3474
HHHPPHHHPPHPHH;8;-6;1905
HHHPPHHHPPHPHH;9;-6;687
HHHPPHHHPPHPHH;10;-5;66
HHHPPHHHPPHPHH;11;-6;360
HHHPPHHHPPHPHH;12;-6;1477
HHHPPHHHPPHPHH;13;-6;4059
HHHPHHPHHPPHPH;0;-6;1062
HHHPHHPHHPPHPH;1;-6;2319
HHHPHHPHHPPHPH;2;-6;285
HHHPHHPHHPPHPH;3;-6;186
HHHPHHPHHPPHPH;4;-6;801
HHHPHHPHHPPHPH;5;-6;220
HHHPHHPHHPPHPH;6;-6;41
HHHPHHPHHPPHPH;7;-6;958
HHHPHHPHHPPHPH;8;-6;3256
HHHPHHPHHPPHPH;9;-6;1857
HHHPHHPHHPPHPH;10;-6;2963
HHHPHHPHHPPHPH;11;-6;136
HHHPHHPHHPPHPH;12;-6;176
HHHPHHPHHPPHPH;13;-6;2195
PHHHHHPHHPHHPP;0;-5;201
PHHHHHPHHPHHPP;1;-5;2884
PHHHHHPHHPHHPP;2;-5;229
PHHHHHPHHPHHPP;3;-5;1860
PHHHHHPHHPHHPP;4;-5;3016
PHHHHHPHHPHHPP;5;-5;53
PHHHHHPHHPHHPP;6;-5;3861
PHHHHHPHHPHHPP;7;-4;147
PHHHHHPHHPHHPP;8;-5;81
PHHHHHPHHPHHPP;9;-5;1018
PHHHHHPHHPHHPP;10;-4;48
PHHHHHPHHPHHPP;11;-5;1896
PHHHHHPHHPHHPP;12;-5;2155
PHHHHHPHHPHHPP;13;-5;929
PHHHPHPPHHHHPH;0;-5;139
PHHHPHPPHHHHPH;1;-5;1863
PHHHPHPPHHHHPH;2;-5;147
PHHHPHPPHHHHPH;3;-5;169
PHHHPHPPHHHHPH;4;-5;308
PHHHPHPPHHHHPH;5;-5;143
PHHHPHPPHHHHPH;6;-5;976
PHHHPHPPHHHHPH;7;-5;545
PHHHPHPPHHHHPH;8;-5;617
PHHHPHPPHHHHPH;9;-5;125
PHHHPHPPHHHHPH;10;-5;1609
PHHHPHPPHHHHPH;11;-5;2165
PHHHPHPPHHHHPH;12;-5;215
PHHHPHPPHHHHPH;13;-5;1101
PHHHHHHPPHPPHH;0;-5;1235
PHHHHHHPPHPPHH;1;-5;98
PHHHHHHPPHPPHH;2;-5;1682
PHHHHHHPPHPPHH;3;-6;2868
PHHHHHHPPHPPHH;4;-6;996
PHHHHHHPPHPPHH;5;-5;31
PHHHHHHPPHPPHH;6;-5;68
PHHHHHHPPHPPHH;7;-5;584
PHHHHHHPPHPPHH;8;-5;130
PHHHHHHPPHPPHH;9;-5;188
PHHHHHHPPHPPHH;10;-5;1136
PHHHHHHPPHPPHH;11;-5;1328
PHHHHHHPPHPPHH;12;-5;2485
PHHHHHHPPHPPHH;13;-5;206
HHHHHHPHPHPPPH;0;-5;74
HHHHHHPHPHPPPH;1;-5;265
HHHHHHPHPHPPPH;2;-5;78
HHHHHHPHPHPPPH;3;-5;1103
HHHHHHPHPHPPPH;4;-5;480
HHHHHHPHPHPPPH;5;-5;638
HHHHHHPHPHPPPH;6;-5;497
HHHHHHPHPHPPPH;7;-5;154
HHHHHHPHPHPPPH;8;-5;1008
HHHHHHPHPHPPPH;9;-5;151
HHHHHHPHPHPPPH;10;-5;596
HHHHHHPHPHPPPH;11;-5;186
HHHHHHPHPHPPPH;12;-5;455
HHHHHHPHPHPPPH;13;-5;9
