start,1498056484.673641
Start Anneal,0.002766132354736328,1
Score Iteration,-7,0,0.995
Score Iteration,-9,21,0.8955869907338784
Score Iteration,-10,32,0.8475428503023456
Result SA test136,0.002766132354736328,14.065524101257324,919,-10
Start Anneal,14.065526962280273,1.1
Result SA test136,14.065526962280273,18.646263122558594,1857,-10
Start Anneal,18.646265983581543,1.2100000000000002
Score Iteration,-11,1974,0.6697441028690706
Result SA test136,18.646265983581543,26.349619150161743,2814,-11
Start Anneal,26.349622011184692,1.3310000000000004
Result SA test136,26.349622011184692,34.63476800918579,3790,-11
Start Anneal,34.63477110862732,1.4641000000000006
Result SA test136,34.63477110862732,42.67457914352417,4785,-11
Start Anneal,42.67458200454712,1.6105100000000008
Score Iteration,-12,5199,0.20116014280939287
Result SA test136,42.67458200454712,50.511022090911865,5799,-12
Start Anneal,50.511024951934814,1.771561000000001
Result SA test136,50.511024951934814,57.41150712966919,6832,-12
Start Anneal,57.41150999069214,1.9487171000000014
Result SA test136,57.41150999069214,65.96448493003845,7884,-12
Start Anneal,65.96448802947998,2.1435888100000016
Result SA test136,65.96448802947998,75.39610004425049,8955,-12
Start Anneal,75.39610195159912,2.357947691000002
Result SA test136,75.39610195159912,81.76253008842468,10045,-12
Start Anneal,81.76253414154053,2.5937424601000023
Result SA test136,81.76253414154053,88.4591600894928,11154,-12
Start Anneal,88.45916295051575,2.853116706110003
Result SA test136,88.45916295051575,98.32984709739685,12282,-12
Start Anneal,98.3298499584198,3.1384283767210035
Result SA test136,98.3298499584198,105.33785700798035,13429,-12
Start Anneal,105.33785891532898,3.4522712143931042
Result SA test136,105.33785891532898,111.52820491790771,14595,-12
Start Anneal,111.52820801734924,3.797498335832415
Result SA test136,111.52820801734924,125.185702085495,15780,-12
Start Anneal,125.18570494651794,4.177248169415656
Result SA test136,125.18570494651794,134.44937014579773,16984,-12
Start Anneal,134.44937300682068,4.594972986357222
Result SA test136,134.44937300682068,145.23291611671448,18207,-12
Start Anneal,145.23291993141174,5.054470284992944
Result SA test136,145.23291993141174,155.76177501678467,19449,-12
Start Anneal,155.7617781162262,5.559917313492239
Result SA test136,155.7617781162262,166.94032192230225,20710,-12
Start Anneal,166.94032502174377,6.115909044841463
Result SA test136,166.94032502174377,174.24644207954407,21991,-12
